PID,Name,Title,PublicationType,ContentType,Language,Journal,JournalISSN,JournalEISSN,Status,Volume,Issue,HostPublication,StartPage,EndPage,Year,Edition,Pages,City,Publisher,Series,SeriesISSN,SeriesEISSN,ISBN,Urls,ISRN,DOI,ISI,PMID,ScopusId,NBN,LocalId,ArchiveNumber,Keywords,Categories,ResearchSubjects,Projects,Notes,Abstract,Opponents,Supervisors,Examiners,Patent,ThesisLevel,Credits,Programme,Subject,Uppsok,DefencePlace,DefenceLanguage,DefenceDate,CreatedDate,PublicationDate,LastUpdated,FullTextLink,Funder,NumberOfAuthors,ExternalCooperation,FridaLevel,PartOfThesis,PublicationSubtype,Conference,Term,ArticleId,Reviewed,FreeFulltext,SustainableDevelopment,Contributor
1640179,"Ekdahl, Lars [shlsel] (Södertörns högskola [481], Institutionen för historia och samtidsstudier [11802], Historia [11803])",1917 idag : ett efterord inför framtiden,"Kapitel i bok, del av antologi",Övrigt vetenskapligt,swe,NA,NA,NA,NA,NA,NA,Då var det 1917,NA,NA,2017,NA,NA,Stockholm,Arbetarnas Kulturhistoriska sällskap och Arbetarrörelsens arkiv och bibliotek,Årsbok för Arbetarnas kulturhistoriska sällskap ; 2017,1400-3392,NA,9789198174922,NA,NA,NA,NA,NA,NA,urn:nbn:se:sh:diva-48470,NA,NA,NA,Historia (60101),Baltic and East European studies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-02-23,2022-02-23,2022-02-23,NA,Östersjöstiftelsen [14/2015],1,NA,0,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
1098611,"Bassin, Mark [shmkbn10] [0000-0001-5692-4171] (Södertörns högskola [481], Institutionen för historia och samtidsstudier [11802], Idéhistoria [11807]) (Södertörns högskola [481], Centrum för Östersjö- och Östeuropaforskning (CBEES) [496]);Richardson, P. (University of Birmingham, Edgbaston, Birmingham, UK);Kolosov, V. (Russian Academy of Sciences, Moscow, Russia);Clowes, E. W. (University of Virginia, Charlottesville, Virginia, USA);Agnew, J. (University of California-Los Angeles, Los Angeles, California, USA);Plokhy, S. (Harvard University, Cambridge, Massachusetts, USA)",1917–2017 : The Geopolitical Legacy of the Russian Revolution,Artikel i tidskrift,Refereegranskat,eng,Geopolitics,1465-0045,1557-3028,published,2,3,NA,665,692,2017,NA,NA,NA,Routledge,NA,NA,NA,NA,NA,NA,10.1080/14650045.2017.1308107,000407082700009,NA,2-s2.0-85018455062,urn:nbn:se:sh:diva-32620,NA,NA,NA,Idé- och lärdomshistoria (60305),Baltic and East European studies,NA,NA,"<p>The essays collected in this forum discuss the geopolitical legacy of the Russian Revolution of 1917, one of the most momentous political events of the twentieth century. From a range of different academic disciplines and perspectives, the authors consider how the profound transformations in society and politics were refracted through space and geography, and how enduring these refractions proved to be. The authors focus on three themes that have been dominant in Russian affairs over the past century: 1)the problem of center-periphery relations, 2)the civilizational dynamics of Russia’s self-identification in relation to Europe and to Asia, and 3)the geopolitics of national identity.</p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-05-24,2017-05-24,2020-03-31,NA,NA,6,NA,1,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
1384217,"Östberg, Kjell [SHKLOG] (Södertörns högskola [481], Institutionen för historia och samtidsstudier [11802], Samtidshistoriska institutet [11846])",1968 - när allting var i rörelse,Bok,Övrigt vetenskapligt,swe,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,NA,143,Johanneshov,Bokförläggarna Röda Rummet,NA,NA,NA,9789198328363,NA,NA,NA,NA,NA,NA,urn:nbn:se:sh:diva-39756,NA,NA,Sociala rörelser;1968,Historia (60101),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-01-09,2020-01-09,2020-01-09,NA,NA,1,NA,0,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
1449391,"Burman, Anders [SH99ASBN] [0000-0002-0328-9116] (Södertörns högskola [481], Institutionen för historia och samtidsstudier [11802], Idéhistoria [11807]);Landahl, Joakim (Stockholms universitet)",1968 och pedagogiken,Samlingsverk (redaktörskap),Refereegranskat,swe,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,1,281,Huddinge,Södertörns högskola,Södertörn Academic Studies ; 81;Södertörn Studies in Intellectual and Cultural History ; 4,1650-433X,1650-433X,978-91-89109-17-9;978-91-89109-18-6,https://bibl.sh.se/skriftserier/hogskolans_skriftserier/1968_och_pedagogiken/diva2_1449391.aspx,NA,NA,NA,NA,NA,urn:nbn:se:sh:diva-41321,NA,NA,NA,Idé- och lärdomshistoria (60305),NA,NA,NA,"<p>Som ett av samtidshistoriens mest legendariska år förknippas 1968 med ungdomsuppror, studentrevolter och strejker. Men hur påverkade händelserna kring 68 pedagogiken och utbildningen? Det är den frågan som står i centrum i denna antologi där titelns båda huvudbegrepp förstås i vid mening.</p><p>1968 står således inte bara för året då studenterna vid Stockholms universitet ockuperade sitt eget kårhus och miljontals människor demonstrerade på gatorna i Paris och många andra storstäder runt om i världen utan också mycket annat som hände vid den här tiden och som kan kopplas till sextio- och sjuttiotalets bredare vänsterradikalisering. Och förutom själva pedagogikämnet handlar det om skolsystemet, universiteten och folkbildningen liksom den vidare diskussionen om hur ett gott samhälle kan skapas med hjälp av skola och utbildning.</p><p>Samtidigt aktualiseras frågan om vad vi idag, drygt femtio år senare, har att lära av denna tid då man fortfarande var övertygad om att en annan värld – och därmed en annan skola och pedagogik – var möjlig och då det ansågs vara realistiskt att kräva det omöjliga.</p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-06-30,2020-06-30,2020-07-13,http://sh.diva-portal.org/smash/get/diva2:1449391/FULLTEXT02.pdf,NA,2,NA,0,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
1453809,"Holmén, Janne [shjehn08] [0000-0003-2449-4888] (Södertörns högskola [481], Institutionen för historia och samtidsstudier [11802], Samtidshistoriska institutet [11846]) (Uppsala universitet);Ringarp, Johanna [shjarp05] [0000-0003-4398-6925] (Södertörns högskola [481], Institutionen för historia och samtidsstudier [11802], Samtidshistoriska institutet [11846]) (Stockholms universitet)",1968 och reformer av högre utbildning i Finland och Sverige,"Kapitel i bok, del av antologi",Refereegranskat,swe,NA,NA,NA,NA,NA,NA,1968 och pedagogiken,49,69,2020,NA,NA,Huddinge,Södertörns högskola,Södertörn Academic Studies ; 81;Södertörn Studies in Intellectual and Cultural History ; 4,1650-433X,1650-433X,978-91-89109-17-9;978-91-89109-18-6,http://urn.kb.se/resolve?urn=urn:nbn:se:sh:diva-41321,NA,NA,NA,NA,NA,urn:nbn:se:sh:diva-41563,NA,NA,Högre utbildning;Finland;Sverige;reformer;1968,Idé- och lärdomshistoria (60305),Baltic and East European studies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-07-13,2020-07-13,2020-12-14,http://sh.diva-portal.org/smash/get/diva2:1453809/FULLTEXT01.pdf,Östersjöstiftelsen [11/2018],2,NA,0,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA
1103228,"Ringarp, Johanna [shjarp05] [0000-0003-4398-6925] (Södertörns högskola [481], Institutionen för historia och samtidsstudier [11802], Samtidshistoriska institutet [11846])",25 år av skolreformer : Vittnesseminarium om skolans kommunalisering och friskolereformen,Samlingsverk (redaktörskap),Övrigt vetenskapligt,swe,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,1,52,Huddinge,Södertörns högskola,Samtidshistoriska frågor ; 35,1650-450X,1650-450X,978-91-89615-34-2,http://bibl.sh.se/skriftserier/hogskolans_skriftserier/25_ar_av_skolreformer/diva2_1103228.aspx,NA,NA,NA,NA,NA,urn:nbn:se:sh:diva-32557,NA,NA,NA,Historia (60101);Utbildningsvetenskap (503),NA,NA,NA,"<p>I debatten om den svenska skolans kris lyfts ofta betydelsen av de omfattande reformer som genomfördes under några år kring 1990 fram. Det gäller framför allt kommunaliseringen, införandet av skolpeng och det fria skolvalet. Hur gick besluten till? Vilka var de centrala aktörerna? Vad var syftet med reformerna?</p><p>I juli 2014 bjöd Samtidshistoriska institutet vid Södertörns högskola tillsammans med Lärarnas Riksförbund in några aktörer som på olika sätt varit aktiva under 1990-talets skolreformer till ett vittnesseminarium. Utgångspunkten var att de skulle ge sin minnesbild av skeendet, vilken roll de själva spelat, samt hur de nu, cirka 25 år senare såg på resultatet.</p><p>Medverkande: Lars Leijonborg (FP), f.d. utbildningsminister och partiledare, Christer Wretborn f.d. ambassadör, departementsråd och central tjänsteman vid kommunaliseringen 1989, Ann-Cathrine Haglund (M), f.d. landshövding, ordförande Riksdagens utbildningsutskott 1991–1993, Peje Emilsson, grundare av och ordförande för Kunskapsskolan och Bo Jansson, förbundsordförande, Lärarnas riksförbund.</p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-05-30,2017-05-30,2020-07-06,http://sh.diva-portal.org/smash/get/diva2:1103228/FULLTEXT01.pdf,NA,1,NA,0,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
1511807,"Kotljarchuk, Andrej [shajkk] [0000-0002-9741-2145] (Södertörns högskola [481], Institutionen för historia och samtidsstudier [11802], Samtidshistoriska institutet [11846])",A Cinderella of Europe : Understanding the political history of Belarus,Artikel i tidskrift,Övrigt vetenskapligt,eng,Baltic Rim Economies,1459-9759,NA,published,3,NA,NA,NA,NA,2020,NA,NA,NA,Univeristy of Turku,NA,NA,NA,NA,https://sites.utu.fi/bre/a-cinderella-of-europe-understanding-the-political-history-of-belarus/,NA,NA,NA,NA,NA,urn:nbn:se:sh:diva-42965,NA,NA,NA,Historia (60101),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-12-21,2020-12-21,2021-05-12,NA,Östersjöstiftelsen,1,NA,0,NA,NA,NA,NA,2773,TRUE,TRUE,NA,NA
1507568,"Åkerlund, Andreas [shasad17] [0000-0002-0828-7398] (Södertörns högskola [481], Institutionen för historia och samtidsstudier [11802], Historia [11803])",A Competition State Perspective on the Development of Swedish Policies for Internationalisation of Higher Education and Research 1960s‑2010s,Artikel i tidskrift,Refereegranskat,eng,Nordic Journal of Educational History,2001-7766,2001-9076,published,7,2,NA,99,123,2020,NA,NA,NA,Nordic Journal of Educational History,NA,NA,NA,NA,https://journals.ub.umu.se/index.php/njedh/article/view/203/146,NA,10.36368/njedh.v7i2.203,NA,NA,2-s2.0-85099136251,urn:nbn:se:sh:diva-42489,NA,NA,internationalisation;internationalisation policy;competition state;student mobility,Historia (60101),Historical Studies,NA,NA,"<p>This article is an historical analysis of Swedish policies for internationalisation of higher education and research from the 1970s and onwards. The analysis is carried out against the theoretical backdrop of the competition state, as a type of state reformulating and restructuring the relation between the national and international during the second half of the twentieth century with the aim of making society fit for international competition. Focussing on arguments as to why Swedish universities need to be internationalised, how this should be done and which parts of higher education that should be internationalised, the article shows the development of Swedish internationalisation policies, starting in the 1960s and -70s where focus was on international solidarity, inward student mobility and the internationalisation of teaching. In the 1980s and -90s the idea of a knowledge driven economic development was the central paradigm, resulting in a stronger focus on research and international research collaboration. To this the 2000s and -10s added a focus on ingoing mobility, both as a source of revenue through tuition fees, and a way to recruit skilled labour.</p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-12-08,2020-12-08,2021-01-18,NA,NA,1,NA,1,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA
1624033,"Määttä, Jerry;Bodén, Daniel [shdlbn17] [0000-0001-5870-7541] (Södertörns högskola [481], Institutionen för historia och samtidsstudier [11802], Etnologi [11806]);Godhe, Michael","A Conversation on AI, Science Fiction, and Work",Artikel i tidskrift,Refereegranskat,eng,Fafnir: Nordic Journal of Science Fiction and Fantasy Research,NA,2342-2009,published,8,2,NA,54,68,2021,NA,NA,NA,NA,NA,NA,NA,NA,http://journal.finfar.org/articles/a-conversation-on-ai-science-fiction-and-work/,NA,NA,NA,NA,NA,urn:nbn:se:sh:diva-47945,NA,NA,AI;Science Fiction;Work;Media,Litteraturvetenskap (60203);Etnologi (60503),NA,NA,NA,"<p>Karl-Heinz Steinmüller once remarked that SF “has become a unique medium for discussing science and technology, their prospects and hazards, and more generally their social and cultural impacts” (339). In this sense, SF as a genre forms a bridge between science/technology and the public, and is a vital aspect of public engagement with issues arising from scientific development. One such technological subject today is the development of artificial intelligence (AI) research.At the same time, there is a growing concern that representations of AI in recent SF and popular media are misleading (Goode; Graeber). In this article, ethnologist Daniel Bodén and cultural studies researcher Michael Godhe discuss AI in the light of the future of work with Jerry Määttä, one of the foremost SF scholars in Scandinavia.</p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-03,2022-01-03,2022-01-03,NA,NA,3,NA,1,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA
1129910,"Friberg, Katarina [shkafg07] [0000-0003-0653-2828] (Södertörns högskola [481], Institutionen för historia och samtidsstudier [11802], Samtidshistoriska institutet [11846]) (SHI)",A Co-operative Take on Free Trade : International Ambitions and Regional Initiatives in International Co-operative Trade,"Kapitel i bok, del av antologi",Refereegranskat,eng,NA,NA,NA,NA,NA,NA,A Global History of Consumer Co-operation since 1850 : Movements and Businesses,201,225,2017,NA,NA,Leiden,Brill Academic Publishers,Studies in Global Social History ; 28,1874-6705,NA,9789004336544,NA,NA,10.1163/9789004336551_011,NA,NA,NA,urn:nbn:se:sh:diva-33090,NA,NA,consumer co-opertion;free trade;International Co-operative Alliance,Historia (60101),Historical Studies,Från moralisk ekonomi till rättvisehandel: En jämförande samtidshistorisk studie av svensk och brittisk konsumentkooperation i relation till internationell handel och utvecklingsbistånd,NA,"<p>This chapter deals with co-operative ambitions to create institutions that would establish international co-operative trade. This implied stimulating trade between the national co-operative wholesales, or more ambitiously, the creation of an international co-operative business organization. Free trade as a trade policy and as an approach to internationalism was a condition for the realization of international co-operative trade. Protectionism was not an option. But the very notion of free trade, and the ways in which co-operators have related to it, has been subject to subtle shifts and changes. In the chapter, we follow the endeavours of co-operators to agree on institutions for co-operative international trade and thereby also their discussion regarding free trade policy. The period covered is the first half of the twentieth century but focus is on the inter-war period.</p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-08-07,2017-08-07,2017-09-04,NA,Vetenskapsrådet [2006-1547],1,NA,2,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
