IHS,2021,2020,2019,2018,2017
Artikel i tidskrift: Övrigt vetenskapligt,7,17,7,13,9
Artikel i tidskrift: Refereegranskat,34,35,21,19,39
"Artikel, forskningsöversikt: Övrigt vetenskapligt",0,0,0,1,0
"Artikel, forskningsöversikt: Refereegranskat",0,1,2,0,0
"Artikel, recension: Övrigt vetenskapligt",15,6,14,10,7
Bok: Övrigt vetenskapligt,6,5,3,5,5
Bok: Refereegranskat,1,3,0,2,4
"Doktorsavhandling, monografi: Övrigt vetenskapligt",2,2,1,2,7
"Doktorsavhandling, sammanläggning: Övrigt vetenskapligt",0,0,1,0,0
"Kapitel i bok, del av antologi: Övrigt vetenskapligt",37,51,32,21,26
"Kapitel i bok, del av antologi: Refereegranskat",19,23,21,25,20
Konferensbidrag: Övrigt vetenskapligt,0,0,0,1,2
Konferensbidrag: Refereegranskat,0,0,1,0,3
"Licentiatavhandling, monografi: Övrigt vetenskapligt",1,0,1,1,0
Rapport: Övrigt vetenskapligt,6,1,2,5,3
Rapport: Refereegranskat,0,1,0,0,1
Samlingsverk (redaktörskap): Övrigt vetenskapligt,7,5,3,8,5
Samlingsverk (redaktörskap): Refereegranskat,3,7,4,4,2
