PID,Name,Title,PublicationType,ContentType,Language,Journal,JournalISSN,JournalEISSN,Status,Volume,Issue,HostPublication,StartPage,EndPage,Year,Edition,Pages,City,Publisher,Series,SeriesISSN,SeriesEISSN,ISBN,Urls,ISRN,DOI,ISI,PMID,ScopusId,NBN,LocalId,ArchiveNumber,Keywords,Categories,ResearchSubjects,Projects,Notes,Abstract,Opponents,Supervisors,Examiners,Patent,ThesisLevel,Credits,Programme,Subject,Uppsok,DefencePlace,DefenceLanguage,DefenceDate,CreatedDate,PublicationDate,LastUpdated,FullTextLink,Funder,NumberOfAuthors,ExternalCooperation,FridaLevel,PartOfThesis,PublicationSubtype,Conference,Term,ArticleId,Reviewed,FreeFulltext,SustainableDevelopment,Contributor
1498242,"Karlholm, Dan [shdnkm03] [0000-0002-3154-9552] (Södertörns högskola [481], Institutionen för kultur och lärande [11809], Konstvetenskap [11815]) (Kritisk kulturteori)",1842 : Handböckernas konsthistoria och de anakrona ikonerna,"Kapitel i bok, del av antologi",Övrigt vetenskapligt,swe,NA,NA,NA,NA,NA,NA,Inspiration : Tradition och samtid,86,96,2020,1,NA,Stockholm,Nationalmuseum,Ateneums publikationer ; 131,1238-4712,NA,978-952-7371-03-9,NA,NA,NA,NA,NA,NA,urn:nbn:se:sh:diva-42168,NA,NA,allmän konsthistoria;konstmuseer;historieskrivning;historiografi;ikonisk;anakroni,Konstvetenskap (60407),Critical and Cultural Theory,NA,<p>Även publicerad på finska <em>Inspiraatio – Nykytaide ja klassikot</em> ISBN 978-952-7371-02-2 och engelska <em>Inspiration – Iconic Works</em> ISBN 978-952-7371-04-6</p>,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-11-05,2020-11-05,2020-11-05,NA,NA,1,NA,0,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
1592249,"Holmqvist, Sam [saho20] [0000-0001-7981-5170] (Södertörns högskola [481], Institutionen för kultur och lärande [11809], Genusvetenskap [11814])",1900-talsmyten om Lasse-Maja : En kvantitativ jämförelse av 1900- och 2000-talsutgåvorna av Lasse-Majas självbiografi,Artikel i tidskrift,Övrigt vetenskapligt,swe,"Finsk tidskrift :  kultur, ekonomi, politik",0015-248X,NA,published,NA,3–4,NA,NA,NA,2021,NA,NA,Åbo,Föreningen Granskaren r.f.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,urn:nbn:se:sh:diva-46349,NA,NA,NA,Litteraturvetenskap (60203);Genusstudier (50902),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-09-08,2021-09-08,2021-11-03,NA,NA,1,NA,0,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
1356655,"Werner, Ann [shwran08] [0000-0002-2540-8497] (Södertörns högskola [481], Institutionen för kultur och lärande [11809], Genusvetenskap [11814])","1968 revolutionens rytmer: En berättelse om hur musik och uppror skakade världsordningen, Håkan Thörn. Göteborg: Daidalos, 2018.","Artikel, recension",Övrigt vetenskapligt,swe,Svensk tidskrift för musikforskning,NA,2002-021X,published,101,NA,NA,NA,NA,2019,NA,NA,NA,NA,NA,NA,NA,NA,http://musikforskning.se/stm-sjm/node/234,NA,NA,NA,NA,NA,urn:nbn:se:sh:diva-39104,NA,NA,NA,Musikvetenskap (60408),Critical and Cultural Theory,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-10-02,2019-10-02,2019-10-02,NA,NA,1,NA,1,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA
1514962,"Lönngren, Ann-Sofie [shaeln18] [0000-0002-3151-7083] (Södertörns högskola [481], Institutionen för kultur och lärande [11809], Litteraturvetenskap [11816])","2019: Kelly Hübben, <em>A genre of animal hanky-panky? Animal representations, anthropomorphism and interspecies relations in The Little Golden Books</em>. Stockholm university, 2017 (diss.).","Artikel, recension",Övrigt vetenskapligt,swe,Tidskrift för litteraturvetenskap,1104-0556,2001-094X,published,49,1,NA,85,87,2019,NA,NA,NA,Föreningen för utgivande av Tidskrift för litteraturvetenskap,NA,NA,NA,NA,http://ojs.ub.gu.se/ojs/index.php/tfl/article/view/4701,NA,NA,NA,NA,NA,urn:nbn:se:sh:diva-43049,NA,NA,NA,Litteraturvetenskap (60203),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-01-07,2021-01-07,2021-01-08,http://sh.diva-portal.org/smash/get/diva2:1514962/FULLTEXT02.pdf,NA,1,NA,1,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA
1515557,"Wallrup, Erik [shekwp19] [0000-0002-9218-2029] (Södertörns högskola [481], Institutionen för kultur och lärande [11809], Estetik [11812]);Bygdéus, Pia;Eriksson, Torbjörn",250 : Kungl. Musikaliska Akademien 1771-2021,Samlingsverk (redaktörskap),Övrigt vetenskapligt,swe,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,NA,256,Möklinta,Gidlunds förlag,Kungl. Musikaliska Akademiens skriftserie ; 148,0347-5158,NA,978-91-7844-433-5,NA,NA,NA,NA,NA,NA,urn:nbn:se:sh:diva-43080,NA,NA,Kungl. Musikaliska Akademien;institutionshistoria,Musikvetenskap (60408),Critical and Cultural Theory,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-01-10,2021-01-10,2021-01-21,NA,NA,3,NA,0,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
1527145,"Larsson, Ulf [shufln05] (Södertörns högskola [481], Institutionen för kultur och lärande [11809], Svenska [11820])","“A crisp slice of Japanese apple or a brittle Swedish cookie” : Some culinary, sensory and semantic-based learning activities in the SFL classroom",Artikel i tidskrift,Övrigt vetenskapligt,eng,Frontier of Foreign Language Education,2433-9636,NA,published,3,NA,NA,139,147,2020,NA,NA,NA,Osaka University Press,NA,NA,NA,NA,http://hdl.handle.net/11094/75629,NA,NA,NA,NA,NA,urn:nbn:se:sh:diva-43997,NA,NA,culinary language;frame semantics;culinary pedagogics;sensory pedagogics;foreign language education,Studier av enskilda språk (60202);Jämförande språkvetenskap och allmän lingvistik (60201),NA,NA,<p>Alternative title: サクサクした日本のリンゴ一切れまたはパリパリしたスウェーデンのクッキー一つ : 教室における料理，味覚，意味に基づいた語学学習活動</p>,"<p>In this brief educational report, I discuss how one can use methods from two different fields, namely sensory science and lexical semantics (frame semantics) to enhance the students’ vocabulary when learning Swedish as a foreign language (SFL). After an outline of sensory analysis and frame semantics, several examples of sensory semantic frames are shown in order to illuminate how the sensory lexical patterns could expand by using frames, especially when it comes to semantic domains and specification. It is also shown how one could arrange the sensory and semantic classroom activities in order to optimize the learning process and outcome. Since semantic frames mirror the extralinguistic world, they are most useful in contextualization of the lexical items. To be more concrete, the combination of sensory analysis and semantic frames can learn the students not only about the Swedish culinary lexicon, but also about Swedish culture in general, with a culinary departing point which can easily expand to socio-cultural and historical perspectives.</p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-02-10,2021-02-10,2021-06-08,NA,NA,1,NA,0,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA
1162257,"Fornäs, Johan [shjnfs09] [0000-0002-9419-4883] (Södertörns högskola [481], Institutionen för kultur och lärande [11809], Medie- och kommunikationsvetenskap [11817])",A cultural perspective on European borders,"Kapitel i bok, del av antologi",Refereegranskat,eng,NA,NA,NA,NA,NA,NA,"Cultural Identities, National Borders",7,20,2017,NA,NA,Göteborg,Centrum för Europaforskning,NA,NA,NA,9789189608429,NA,NA,NA,NA,NA,NA,urn:nbn:se:sh:diva-33785,NA,NA,NA,Kulturstudier (60502),Baltic and East European studies,Narratives of Europe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-12-04,2017-12-04,2017-12-04,NA,Östersjöstiftelsen [1552/42/2011],1,NA,0,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
1340722,"Svenaeus, Fredrik [SHFKSS] [0000-0002-8973-8591] (Södertörns högskola [481], Institutionen för kultur och lärande [11809], Centrum för praktisk kunskap [11810])",A Defense of the Phenomenological Account of Health and Illness,Artikel i tidskrift,Refereegranskat,eng,Journal of Medicine and Philosophy,0360-5310,1744-5019,published,44,4,NA,459,478,2019,NA,NA,NA,Oxford University Press,NA,NA,NA,NA,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6663122/,NA,10.1093/jmp/jhz013,000493013600005,31356662,2-s2.0-85070753642,urn:nbn:se:sh:diva-38683,NA,NA,Nietzsche;health;illness;naturalism;phenomenology,Filosofi (60301);Medicinsk etik (30310),NA,NA,NA,"<p>A large slice of contemporary phenomenology of medicine has been devoted to developing an account of health and illness that proceeds from the first-person perspective when attempting to understand the ill person in contrast and connection to the third-person perspective on his/her diseased body. A proof that this phenomenological account of health and illness, represented by philosophers, such as Drew Leder, Kay Toombs, Havi Carel, Hans-Georg Gadamer, Kevin Aho, and Fredrik Svenaeus, is becoming increasingly influential in philosophy of medicine and medical ethics is the criticism of it that has been voiced in some recent studies. In this article, two such critical contributions, proceeding from radically different premises and backgrounds, are discussed: Jonathan Sholl's naturalistic critique and Talia Welsh's Nietzschean critique. The aim is to defend the phenomenological account and clear up misunderstandings about what it amounts to and what we should be able to expect from it.</p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-08-06,2019-08-06,2022-03-03,http://sh.diva-portal.org/smash/get/diva2:1340722/FULLTEXT01.pdf,Östersjöstiftelsen [4/2014],1,NA,1,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA
1527338,"Lindén, Claudia [shcaln03] [0000-0002-7945-8596] (Södertörns högskola [481], Institutionen för kultur och lärande [11809], Litteraturvetenskap [11816])","A love roundtrip : Female British authors, the secret foundation behind Ellen Key's reception into the English-speaking world as a philosopher of love","Kapitel i bok, del av antologi",Refereegranskat,eng,NA,NA,NA,NA,NA,NA,Collective Motherliness in Europe (1890 - 1939) : The Reception and Reformulation of Ellen Key's Ideas on Motherhood and Female Sexuality,37,60,2020,NA,NA,Berlin,Peter Lang Publishing Group,NA,NA,NA,978-3-631-81943-2;978-3-631-83888-4,https://doi.org/10.3726/b17731,NA,NA,NA,NA,2-s2.0-85107424951,urn:nbn:se:sh:diva-44005,NA,NA,Ellen Key;Havelock Ellis;Women's movement;British 19th century literature;Ellen Key;Havelock Ellis;Kvinnorörelsen;Engelsk 1800-talslitteratur,Litteraturvetenskap (60203),Critical and Cultural Theory,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-02-10,2021-02-10,2021-11-25,NA,NA,1,NA,1,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
1603569,"Jakobsson, Peter [shprjn07] [0000-0002-5468-7229] (Uppsala University, Sweden);Lindell, Johan [0000-0001-6689-0710] (Uppsala University, Sweden);Stiernstedt, Fredrik [shfkst04] [0000-0002-5247-8212] (Södertörns högskola [481], Institutionen för kultur och lärande [11809], Medie- och kommunikationsvetenskap [11817])",A Neoliberal Media Welfare State? : The Swedish Media System in Transformation,Artikel i tidskrift,Refereegranskat,eng,Javnost - The Public,1318-3222,NA,published,28,4,NA,375,390,2021,NA,NA,NA,Taylor & Francis,NA,NA,NA,NA,NA,NA,10.1080/13183222.2021.1969506,000701431400001,NA,2-s2.0-85116037460,urn:nbn:se:sh:diva-46571,NA,NA,NA,Medie- och kommunikationsvetenskap (508),NA,NA,NA,"<p>The concept of the Media Welfare State describes Nordic specificity in how media are organised and how they serve a lively and inclusive democracy. This article engages in a dialogue in regards to the contention that this media system has persisted in the midst of rapid social change. We synthesise previous research and documented changes in media policy in Sweden, covering the last three decades, to show the ways in which the Swedish media system has undergone significant transformations. Media use is becoming more polarised and connected to social class. The state is retreating from its involvement in media policy; consequently, the press and public service media are facing unprecedented challenges. Finally, the ""consensual"" relation between media companies and the state, which is said to be typical for the media welfare state, no longer characterises the media market. While some of the features of the media welfare state system remain in Sweden, the current media system is best characterised as a neoliberal media welfare state. The article discusses tensions and conflicts in the existing model and possible future developments.</p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-10-15,2021-10-15,2021-12-14,http://sh.diva-portal.org/smash/get/diva2:1603569/FULLTEXT01.pdf,NA,3,NA,2,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA
