PID,Name,Title,PublicationType,ContentType,Language,Journal,JournalISSN,JournalEISSN,Status,Volume,Issue,HostPublication,StartPage,EndPage,Year,Edition,Pages,City,Publisher,Series,SeriesISSN,SeriesEISSN,ISBN,Urls,ISRN,DOI,ISI,PMID,ScopusId,NBN,LocalId,ArchiveNumber,Keywords,Categories,ResearchSubjects,Projects,Notes,Abstract,Opponents,Supervisors,Examiners,Patent,ThesisLevel,Credits,Programme,Subject,Uppsok,DefencePlace,DefenceLanguage,DefenceDate,CreatedDate,PublicationDate,LastUpdated,FullTextLink,Funder,NumberOfAuthors,ExternalCooperation,FridaLevel,PartOfThesis,PublicationSubtype,Conference,Term,ArticleId,Reviewed,FreeFulltext,SustainableDevelopment,Contributor
1169630,"Bech, Emily Cochran (Aarhus University, Aarhus, Denmark);Borevi, Karin [shknbi14] [0000-0002-5662-3579] (Södertörns högskola [481], Institutionen för samhällsvetenskaper [11822], Statsvetenskap [11830]);Mouritsen, Per (Aarhus University, Aarhus, Denmark)","A ‘civic turn’ in Scandinavian family migration policies? Comparing Denmark, Norway and Sweden",Artikel i tidskrift,Refereegranskat,eng,Comparative Migration Studies,2214-8590,2214-594X,published,5,1,NA,NA,NA,2017,NA,NA,NA,Springer,NA,NA,NA,NA,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC5331100/,NA,10.1186/s40878-016-0046-7,NA,28303235,2-s2.0-85052983971,urn:nbn:se:sh:diva-34007,NA,NA,Immigration;Family migration;Family reunification;Civic integration,Statsvetenskap (506),NA,NA,NA,"<p>Family migration policy, once basing citizens and resident foreigners’ possibilities to bring in foreign family members mainly on the right to family life, is increasingly a tool states use to limit immigration and to push newcomers to integrate into civic and economic life. The family migration policies of Denmark, Norway and Sweden range widely – from more minimal support and age requirements to high expectations of language skills, work records and even income levels. While in Denmark and increasingly in Norway growing sets of requirements have been justified on the need to protect the welfare state and a Nordic liberal way of life, in Sweden more minimal requirements have been introduced in the name of spurring immigrants’ labor market integration even as rights-based reasoning has continued to dominate. In all three countries, new restrictions have been introduced in the wake of the refugee crisis. These cases show how prioritizations of the right to family life vis-à-vis welfare-state sustainability have produced different rules for family entry, and how family migration policies are used to different extents to push civic integration of both new and already settled immigrants.</p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-12-28,2017-12-28,2020-06-30,NA,Riksbankens Jubileumsfond,3,NA,1,NA,NA,NA,NA,7,TRUE,TRUE,NA,NA
1088822,"Bali Swain, Ranjula [shrabn14] [0000-0003-0573-5287] (Södertörns högskola [481], Institutionen för samhällsvetenskaper [11822], Nationalekonomi [11826])",A Critical Analysis of the Sustainable Development Goals,"Kapitel i bok, del av antologi",Refereegranskat,eng,NA,NA,NA,NA,NA,NA,Handbook of Sustainability Science and Research,341,356,2018,NA,NA,Cham,Springer,World Sustainability Series,2199-7373,NA,978-3-319-63007-6;978-3-319-63006-9,NA,NA,10.1007/978-3-319-63007-6_20,NA,NA,NA,urn:nbn:se:sh:diva-32405,NA,NA,Sustainable development goals;Sustainable development incompatibility;Structural equation modelling;Factor analysis;UN data revolution,Nationalekonomi (50201),NA,NA,NA,"<p>The ambitious UN-adopted sustainable development goals (SDGs) have been criticized for being inconsistent, difficult to quantify, implement and monitor. Disparaging analysis suggests that there exists a potential inconsistency in the SDGs, particularly between the socio-economic development and the environmental sustainability goals. Critiques also raise questions on the measurability and monitoring of the broadly framed SDGs. The goals are non-binding, with each country being expected to create their own national or regional plans. Moreover, the source(s) and the extent of the financial resources and investments for the SDGs are ambiguous. This chapter quantifies and examines the inconsistencies of the SDGs. It further inspects which of the underlying social, economic or environmental pillars are that most effective for achieving sustainable development. Analyses of the data reveal that the developed countries need to remain focused on their social and environmental policies. The developing countries, on the other hand, are better off being focused on their economics and social policies in the short run, even though environmental policies remain significant for sustainable development.</p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-04-16,2017-04-16,2019-02-13,NA,Vetenskapsrådet;Forskningsrådet Formas,1,NA,1,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
1375613,"Reardon, James (University of Northern Colorado, Greeley, CO, USA);McCorkle, Denny (University of Northern Colorado, Greeley, CO, USA);Radon, Anita [shaarn18] (Södertörns högskola [481], Institutionen för samhällsvetenskaper [11822], Företagsekonomi [11823]);Abraha, Desalegn (Högskolan i Skövde)",A global consumer decision model of intellectual property theft,Artikel i tidskrift,Refereegranskat,eng,Journal of Research in Interactive Marketing,2040-7122,NA,published,13,4,NA,509,528,2019,NA,NA,NA,Emerald Group Publishing Limited,NA,NA,NA,NA,NA,NA,10.1108/JRIM-07-2018-0093,000496279400005,NA,2-s2.0-85074909062,urn:nbn:se:sh:diva-39503,NA,NA,SEM;Ethics;Cross-cultural;Music industry;Intellectual property,Företagsekonomi (50202),NA,NA,NA,"<p>Purpose Intellectual property theft amounts to billions of dollars per year worldwide. The first step in stemming this loss is to understand the underlying precursors of this behavior. This paper aims to propose and test a model of consumer choice to purchase or pirate intellectual property, specifically music. This paper combines and applies the theory of reasoned action (TRA) and Becker's theory of crime to develop a more comprehensive model of digital piracy behavior. Culture was tested as an antecedent to the attitudes and the perceptions of risk associated with music piracy. Design/methodology/approach A survey of 4,618 participants was conducted across 23 countries. Construct measures were validated using confirmatory factor analysis in LISREL. A conceptual model was tested using logistic structural equation modeling in MPlus. Respondents were asked about the last music they acquired to test a behavioral model of music piracy. Findings The results indicated that culture, specifically rule orientation and uncertainty avoidance, had a significant impact on attitudes toward the music industry, ethical perceptions of music piracy and risk perceptions. Respondents' ethical perceptions of downloading had the highest impact on music piracy behavior. The personal/copy risk associated with the illegal downloading of music had a significant impact while the relative channel risk did not. The market value, quality and selection also had a significant impact on downloading behavior, as did the respondent's ability to find and download music. Research limitations/implications - While this paper was limited by focusing on the illegal downloading of music, the results can provide guidance in the design of future research concerning the piracy and unlicensed downloading of other types of intellectual properties such as movies/videos, TV, paywall content and e-books. Practical implications - In recent years, improved access to music and video through online streaming and online stores has significantly decreased music piracy. This research indicated that further inroads into this behavior could be made through better online purchase access and through consumer education about the ethics and results of digital downloading. Further, efforts are more efficient by targeting cultures with lower levels of rule orientation with ethics education and targeted risk messages in countries with higher uncertainty avoidance. Social implications Yearly losses to the music industry amount to about $5-29bn. Many find music and video downloading and ""sharing"" as acceptable. The model developed in this research has implications to affect this mass loss of revenue to the music industry and perhaps the societal view of downloading behavior that is illegal but commonly accepted. Originality/value This model is the first to integrate cultural aspects into models of digital piracy. In addition, the model is developed from a strong theoretical base (TRA and Becker's theory of crime) to integrate multiple antecedents to intellectual property theft research.</p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-12-05,2019-12-05,2019-12-11,NA,NA,4,NA,1,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
1254578,"Inagawa, Takuma (National Center Hospital, National Center of Neurology and Psychiatry, Kodaira, Tokyo, Japan);Narita, Zui (National Center Hospital, National Center of Neurology and Psychiatry, Kodaira, Tokyo, Japan);Sugawara, Norio (Translational Medical Center, National Center of Neurology and Psychiatry, Tokyo, Japan);Maruo, Kazushi (University of Tsukuba, Tsukuba, Ibaraki, Japan);Stickley, Andrew [SH99AWSY] [0000-0002-1260-2223] (Södertörns högskola [481], Institutionen för samhällsvetenskaper [11822], SCOHOST (Stockholm Centre for Health and Social Change) [11844]) ( National Institute of Mental Health, National Center of Neurology and Psychiatry, Kodaira, Tokyo);Yokoi, Yuma (National Center Hospital, National Center of Neurology and Psychiatry, Kodaira, Tokyo, Japan);Sumiyoshi, Tomiki (National Institute of Mental Health, National Center of Neurology and Psychiatry, Kodaira, Tokyo, Japan)",A Meta-Analysis of the Effect of Multisession Transcranial Direct Current Stimulation on Cognition in Dementia and Mild Cognitive Impairment,Artikel i tidskrift,Refereegranskat,eng,Clinical EEG and Neuroscience,1550-0594,2169-5202,published,50,4,NA,273,282,2019,NA,NA,NA,Sage Publications,NA,NA,NA,NA,NA,NA,10.1177/1550059418800889,000469869900006,30229671,2-s2.0-85059696844,urn:nbn:se:sh:diva-36510,NA,NA,brain stimulation;cognition;meta-analysis;neurocognitive disorder;tDCS,Sociologi (504),NA,NA,NA,"<p>There have been increasing efforts to investigate the effects of neuromodulation techniques, such as transcranial direct current stimulation (tDCS), on cognitive impairment in dementia and related conditions. In this systematic review and meta-analysis, we assessed the efficacy of multisession anodal tDCS compared with sham stimulation for improving global cognition and specific cognitive domains in both Alzheimer's disease and mild cognitive impairment. Eight articles meeting the criteria for inclusion in the meta-analysis were selected. Five studies used the Mini-Mental State Examination to examine mild cognitive impairment and dementia. In a fixed-effect model, there was a mean difference in the change score of -0.13 points. Three trials for dementia using the Alzheimer's Disease Assessment Scale-Cognition showed a mean difference of -0.53 points. At present, there is a lack of clear evidence concerning the efficacy of multisession anodal tDCS due to the small number of studies and different measures used. This underscores the need for further investigations using larger samples and common outcome measures.</p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-10-09,2018-10-09,2019-11-06,NA,NA,7,NA,1,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
1286534,"Aare, Cecilia [shcaae] [0000-0002-8376-7877] (Södertörns högskola [481], Institutionen för samhällsvetenskaper [11822], Journalistik [11825]) (Stockholms universitet)",A Narratological Investigation Of Eyewitness Reporting : how a journalistic mission affects narrative structures of the text,Artikel i tidskrift,Refereegranskat,eng,Brazilian Journalism Research,1808-4079,1981-9854,published,14,3,NA,676,699,2018,NA,NA,NA,Brazilian Association of Journalism Researchers,NA,NA,NA,NA,NA,NA,10.25200/BJR.v14n3.2018.1125,000454509300005,NA,2-s2.0-85060585538,urn:nbn:se:sh:diva-37421,NA,NA,Discourse narratology;Eyewitness reporting;Mimetic representation;Afferent narrative perspective;Illusion of simultaneity;Narratologia do discurso;Relato de testemunha ocular;Representação mimética;Perspectiva narrativa aferente;Ilusão de simultaneidade;Narratología del discurso;Relato de testigo ocular;Representación mimética;Perspectiva narrativa aferente;Ilusión de simultaneidad,Litteraturvetenskap (60203),NA,NA,<p>Publicerad på två språk. Portugisisk titel: Uma Investigação Narratológica Do Relato De Testemunhas Oculares: como o papel de um repórter profissional pode afetar as estruturas narrativas do texto</p>,"<p>Drawing upon the tenets of discourse narratology, this essay identifies and discusses the various narrative and rhetorical features typical of literary journalism/reportage that have evolved from the classical tradition of first-hand observation/eyewitness reporting. I give examples of narrative patterns that have influenced literary journalism throughout the 20th century and up until today, and argue that they differ from structures found in comparable ways of narrating in fiction as well as in autobiographies. I highlight four consequences of a rhetorical “position of witnessing”: a narrative perspective directed from the outside and inward, and an illusion of simultaneity of a reporter being present on the spot and seemingly witnessing and narrating at the same time. Furthermore, the essay explores how realism, in terms of mimetic (scenic) form and scrutinized details, works differently in literary journalism than in realistic fiction. In this article, I attempt to demonstrate how narratology can open new doors to our understanding how literary journalism works in its single structures and how these structures in turn affect the reader’s experience.</p><p></p>;<p>Com base nos princípios da narratologia do discurso, este ensaio identifica e discute as várias características narrativas e retóricas típicas do jornalismo literário/ reportagem que evoluíram a partir da tradição clássica de observação em primeira mão/ relato de testemunhas oculares. Dou exemplos de padrões narrativos que influenciaram o jornalismo literário ao longo do século XX e até hoje, e argumento que eles diferem das estruturas encontradas em formas comparáveis de narrar na ficção, bem como nas autobiografias. Destaco quatro consequências de uma “posição de testemunho” retórica: uma perspectiva narrativa dirigida de fora para dentro e uma ilusão de simultaneidade de um repórter estando presente no local e aparentemente testemunhando e narrandoao mesmo tempo. Além disso, o ensaio explora como o realismo, em termos de forma mimética (cênica) e detalhes minuciosos, funciona de maneira diferente no jornalismo literário do que na ficção realista. Neste artigo, tento demonstrar como a narratologia pode abrir novas portas para nossa compreensão de como o jornalismo literário funciona em suas estruturas únicas e como estas, por sua vez, afetam a experiência do leitor.</p>;<p>Con base en los principios de la narratología del discurso, este ensayo identifica y discute las diversas características narrativas y retóricas típicas del periodismo literario/ reportaje que evolucionaron a partir de la tradición clásica de observación de primera mano/ relato de testigos oculares. En el siglo XX y hasta el presente, se dan ejemplos de patrones narrativos que influenciaron el periodismo literario a lo largo del siglo XX y que se diferencian de las estructuras encontradas en formas comparables de narrar en la ficción, así como en las autobiografías. Destaco cuatro consecuencias de una “posición de testimonio” retórica: una perspectiva narrativa dirigida de fuera hacia dentro y una ilusión de simultaneidad de un reportero estando presente en el lugar y aparentemente testificando y narrando al mismo tiempo. Además, el ensayo explora cómo el realismo, en términos de forma mimética (escénica) y detalles minuciosos, funciona de manera diferente en el periodismo literario que en la ficción realista. En este artículo, intento demostrar cómo la narratología puede abrir nuevas puertas para nuestra comprensión de cómo el periodismo literario funciona en sus estructuras únicas y cómo esas estructuras, a su vez, afectan la experiencia del lector.</p><p></p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-02-07,2019-02-07,2020-06-30,http://sh.diva-portal.org/smash/get/diva2:1286534/FULLTEXT01.pdf;http://sh.diva-portal.org/smash/get/diva2:1286534/FULLTEXT02.pdf,NA,1,NA,0,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA
1307066,"Aylott, Nicholas [shnsat06] [0000-0001-9346-2324] (Södertörns högskola [481], Institutionen för samhällsvetenskaper [11822], Statsvetenskap [11830]) (Södertörns högskola [481], Institutionen för samhällsvetenskaper [11822], Centrum för studier av politikens organisering [878302]);Bolin, Niklas [shnsbn18] [0000-0002-2597-363X] (Mid Sweden University)",A party system in flux : the Swedish parliamentary election of September 2018,Artikel i tidskrift,Refereegranskat,eng,West European Politics,0140-2382,1743-9655,published,42,7,NA,1504,1515,2019,NA,NA,NA,Routledge,NA,NA,NA,NA,NA,NA,10.1080/01402382.2019.1583885,000482257700008,NA,2-s2.0-85063677493,urn:nbn:se:sh:diva-38069,NA,NA,election;government formation;parties;party system;Sweden,Statsvetenskap (506),NA,NA,NA,"<p>In the Swedish parliamentary election of 7 September 2018, the biggest parties, the Social Democrats and the Moderates, both lost votes compared to their scores in the previous election, but not as many as they had feared. Commensurately, the radical-right challenger party, the Sweden Democrats (SD), which had seemed certain to profit from Sweden's dramatic experience of the European migration crisis, did well, but not as well as it had hoped. The result left the array of parliamentary forces fragmented and finely balanced. Only after months of negotiations could a government be formed. Eventually, the incumbent coalition received a renewed parliamentary mandate. At the same time, the party system was transformed.</p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-04-25,2019-04-25,2019-09-25,http://sh.diva-portal.org/smash/get/diva2:1307066/FULLTEXT01.pdf,NA,2,NA,2,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA
1393753,"Zuiderveld, Maria [shmarg08] (Södertörns högskola [481], Institutionen för samhällsvetenskaper [11822], Journalistik [11825])",A postcolonial analysis of the LGBT social movement and sport mega events,"Artikel, recension",Övrigt vetenskapligt,eng,Idrottsforum.org/Nordic sport science forum,1652-7224,NA,published,NA,December 12,NA,NA,NA,2018,NA,NA,Malmö,Malmö universitet,NA,NA,NA,NA,https://idrottsforum.org/zuimar_sykes181212/,NA,NA,NA,NA,NA,urn:nbn:se:sh:diva-40232,NA,NA,NA,Annan samhällsvetenskap (509);Genusstudier (50902),NA,NA,"<p>Recension av Sykes, Heather (2018). <em>The Sexual and Gender Politics of Sport Mega-Events: Roving Colonialism.</em> Abingdon, Oxon: Routledge.</p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-02-17,2020-02-17,2020-02-19,NA,NA,1,NA,0,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA
1175060,"Grant, Glen;Horbyk, Roman [shrnhk12] [0000-0003-4808-7670] (Södertörns högskola [481], Institutionen för kultur och lärande [11809], Medie- och kommunikationsvetenskap [11817]);Podolian, Olena [shoapn11] (Södertörns högskola [481], Institutionen för samhällsvetenskaper [11822], Statsvetenskap [11830])","[A review of] Colby Howard &amp; Ruslan Pukhov (eds), Brothers Armed: Military Aspects of the Crisis in Ukraine. Second Edition","Artikel, recension",Övrigt vetenskapligt,eng,Europe-Asia Studies,0966-8136,1465-3427,published,69,10,NA,1678,1680,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1080/09668136.2017.1401823,000423279400018,NA,NA,urn:nbn:se:sh:diva-34257,NA,NA,NA,Statsvetenskap (506),Baltic and East European studies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-01-17,2018-01-17,2019-10-30,NA,NA,3,NA,1,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
1506545,"Widholm, Andreas [shaswm14] [0000-0002-4869-3577] (Stockholm University);Appelgren, Ester [sheran10] [0000-0003-1428-9477] (Södertörns högskola [481], Institutionen för samhällsvetenskaper [11822], Journalistik [11825])",A softer kind of hard news? : Data journalism and the digital renewal of public service news in Sweden,Artikel i tidskrift,Refereegranskat,eng,New Media and Society,1461-4448,1461-7315,published,NA,NA,NA,NA,NA,2020,NA,NA,NA,Sage Publications,NA,NA,NA,NA,NA,NA,10.1177/1461444820975411,000624873300001,NA,2-s2.0-85097022951,urn:nbn:se:sh:diva-42301,NA,NA,Data journalism;datafication;hard news;news production;public service broadcasting;service journalism;soft news,Medievetenskap (50801),NA,NA,NA,"<p>Over the past decade, data journalism has received considerable attention among scholars, pointing to novel forms of investigative reporting as well as new daily practices of news production. This study contributes to existing scholarship by conceptualizing data journalism through distinctions between hard and soft news in relation to service journalism. We analyze news produced by specialized data desks in Swedish public service organizations over a 5-year period (2015?2019) and propose a model for how service journalism attributes can be used as a bridge between the binary categories of hard and soft in data journalism. With this model, we point to how data journalism in public service organizations challenges established notions of soft and hard news and how hybrid production practices open up new research trajectories concerning the societal significance of news in the digital age.</p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-12-03,2020-12-03,2021-03-25,http://sh.diva-portal.org/smash/get/diva2:1506545/FULLTEXT01.pdf,NA,2,NA,2,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA
1517946,"Kostera, Monika [shmaka17] [0000-0002-5303-5544] (Södertörns högskola [481], Institutionen för samhällsvetenskaper [11822], Företagsekonomi [11823]) (Jagiellonian University)",A Time to Speak (Commentary),"Kapitel i bok, del av antologi",Övrigt vetenskapligt,eng,NA,NA,NA,NA,NA,NA,In/Exclusions : Social responsibility of institutions,13,20,2021,NA,NA,Kraków,Copernicus Center Press,NA,NA,NA,9788378865681,NA,NA,NA,NA,NA,NA,urn:nbn:se:sh:diva-43165,NA,NA,interregnum;liquid modernity;pandemic;social change,Företagsekonomi (50202),"Politics, Economy and the Organization of Society",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-01-14,2021-01-14,2021-01-19,NA,NA,1,NA,0,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
