ISV,2021,2020,2019,2018,2017
Artikel i tidskrift: Övrigt vetenskapligt,7,11,9,11,8
Artikel i tidskrift: Refereegranskat,88,83,91,80,65
"Artikel, forskningsöversikt: Övrigt vetenskapligt",0,0,1,0,0
"Artikel, forskningsöversikt: Refereegranskat",4,2,0,0,0
"Artikel, recension: Övrigt vetenskapligt",4,5,2,6,8
Bok: Övrigt vetenskapligt,3,4,3,1,7
Bok: Refereegranskat,0,1,3,3,3
"Doktorsavhandling, monografi: Övrigt vetenskapligt",3,5,1,4,2
"Doktorsavhandling, sammanläggning: Övrigt vetenskapligt",3,0,0,0,2
"Kapitel i bok, del av antologi: Övrigt vetenskapligt",37,41,42,32,30
"Kapitel i bok, del av antologi: Refereegranskat",46,24,37,8,21
Konferensbidrag: Övrigt vetenskapligt,1,0,0,1,3
Konferensbidrag: Refereegranskat,4,3,1,3,2
Rapport: Övrigt vetenskapligt,12,11,16,5,12
Rapport: Refereegranskat,0,0,0,1,0
Samlingsverk (redaktörskap): Övrigt vetenskapligt,4,5,4,2,6
Samlingsverk (redaktörskap): Refereegranskat,5,2,7,0,1
