PID,Name,Title,PublicationType,ContentType,Language,Journal,JournalISSN,JournalEISSN,Status,Volume,Issue,HostPublication,StartPage,EndPage,Year,Edition,Pages,City,Publisher,Series,SeriesISSN,SeriesEISSN,ISBN,Urls,ISRN,DOI,ISI,PMID,ScopusId,NBN,LocalId,ArchiveNumber,Keywords,Categories,ResearchSubjects,Projects,Notes,Abstract,Opponents,Supervisors,Examiners,Patent,ThesisLevel,Credits,Programme,Subject,Uppsok,DefencePlace,DefenceLanguage,DefenceDate,CreatedDate,PublicationDate,LastUpdated,FullTextLink,Funder,NumberOfAuthors,ExternalCooperation,FridaLevel,PartOfThesis,PublicationSubtype,Conference,Term,ArticleId,Reviewed,FreeFulltext,SustainableDevelopment,Contributor
1160862,"Thompson, Luke R.;Sanders, Jon G.;McDonald, Daniel;Amir, Amnon;Ladau, Joshua;Locey, Kenneth J.;Prill, Robert J.;Tripathi, Anupriya;Gibbons, Sean M.;Ackermann, Gail;Navas-Molina, Jose A.;Janssen, Stefan;Kopylova, Evguenia;Vázquez-Baeza, Yoshiki;González, Antonio;Morton, James T.;Mirarab, Siavash;Zech Xu, Zhenjiang;Jiang, Lingjing;Haroon, Mohamed F.;Kanbar, Jad;Zhu, Qiyun;Jin Song, Se;Kosciolek, Tomasz;Bokulich, Nicholas A.;Lefler, Joshua;Brislawn, Colin J.;Humphrey, Gregory;Owens, Sarah M.;Hampton-Marcell, Jarrad;Berg-Lyons, Donna;McKenzie, Valerie;Fierer, Noah;Fuhrman, Jed A.;Clauset, Aaron;Stevens, Rick L.;Shade, Ashley;Pollard, Katherine S.;Goodwin, Kelly D.;Jansson, Janet K.;Gilbert, Jack A.;Knight, Rob;Sjöling, Sara [SHSASG] [0000-0002-5802-5126] (Södertörns högskola [481], Institutionen för naturvetenskap, miljö och teknik [11831], Miljövetenskap [11837]) (The Earth Microbiome Project Consortium);Zhao, Hongxia (The Earth Microbiome Project Consortium)",A communal catalogue reveals Earth’s multiscale microbial diversity,Artikel i tidskrift,Refereegranskat,eng,Nature,0028-0836,1476-4687,published,551,NA,NA,457,463,2017,NA,NA,NA,Springer Nature,NA,NA,NA,NA,NA,NA,10.1038/nature24621,000416043700036,NA,2-s2.0-85034804875,urn:nbn:se:sh:diva-33742,NA,NA,NA,Miljövetenskap (10502),Environmental Studies,NA,"<p>The Earth Microbiome Project Consortium includes principal investigators and scientists who were involved with the individual studies that make up the EMP. These individuals conceived of sampling regimes, collected samples, provided sample metadata, and published manuscripts about individual studies </p>","<p>Our growing awareness of the microbial world's importance and diversity contrasts starkly with our limited understanding of its fundamental structure. Despite recent advances in DNA sequencing, a lack of standardized protocols and common analytical frameworks impedes comparisons among studies, hindering the development of global inferences about microbial life on Earth. Here we present a meta-analysis of microbial community samples collected by hundreds of researchers for the Earth Microbiome Project. Coordinated protocols and new analytical methods, particularly the use of exact sequences instead of clustered operational taxonomic units, enable bacterial and archaeal ribosomal RNA gene sequences to be followed across multiple studies and allow us to explore patterns of diversity at an unprecedented scale. The result is both a reference database giving global context to DNA sequence data and a framework for incorporating data from future studies, fostering increasingly complete characterization of Earth's microbial diversity.</p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-11-28,2017-11-28,2020-03-27,NA,NA,44,NA,2,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA
1384592,"Capelli, L (University of Genoa, Genoa, Italy);De Nigra, E (University of Genoa, Genoa, Italy);Mattsson, Jan-Eric [sh99jcmn] (Södertörns högskola [481], Institutionen för naturvetenskap, miljö och teknik [11831]);Mutvei, Ann [shanmz] (Södertörns högskola [481], Institutionen för naturvetenskap, miljö och teknik [11831], Matematikens didaktik [15800]);Siri, Anna",A comparison of the STEM curricula in “Do Well Science” partner countries,"Kapitel i bok, del av antologi",Övrigt vetenskapligt,eng,NA,NA,NA,NA,NA,NA,Do Well Science : Manual for Innovative Pedagoy in STEM Contents : An Erasmus+ Project to increase secondary students’ achievements in Science subjects,50,65,2019,NA,NA,Breslavia,Società Dante Alighieri,NA,NA,NA,978-83-945213-0-1,https://www.dowellscience.eu/project//download/Templates%20and%20tools/Manuals/Manual_English_Version.pdf;https://www.dowellscience.eu/project/download/Templates%20and%20tools/Manuals/Manual%20Swedish%20version.pdf,NA,NA,NA,NA,NA,urn:nbn:se:sh:diva-39779,NA,NA,NA,Utbildningsvetenskap (503),Studies in the Educational Sciences,Do Well Science (Erasmus+ Project Number: 2017-1-IT02-KA201-036780),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-01-10,2020-01-10,2020-01-10,NA,"EU, Europeiska forskningsrådet [2017-1-IT02-KA201-036780]",5,NA,0,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA
1190854,"Norton, Juliet (University of California, Irvine, USA);Raturi, Ankita (University of California, Irvine, USA);Nardi, Bonnie (University of California, Irvine, USA);Prost, Sebastian (Open Lab, Newcastle University, UK);McDonald, Samantha (University of California, Irvine, USA);Pargman, Daniel (KTH);Bates, Oliver (Lancaster University, UK);Normark, Maria [shmank05] (Södertörns högskola [481], Institutionen för naturvetenskap, miljö och teknik [11831], Medieteknik [11835]);Tomlinson, Bill (University of California, Irvine, USA);Herbig, Nico (German Research Center for Artificial Intelligence (DFKI));Dombrowski, Lynn (Indiana University, Purdue University, Indianapolis, USA)",A Grand Challenge for HCI : Food + Sustainability,Artikel i tidskrift,Refereegranskat,eng,interactions,1072-5520,1558-3449,published,24,6,NA,50,55,2017,NA,NA,NA,Association for Computing Machinery (ACM),NA,NA,NA,NA,NA,NA,10.1145/3137095,NA,NA,2-s2.0-85032895449,urn:nbn:se:sh:diva-34765,2203/3.1.1/2014,NA,NA,Medieteknik (10209);Miljövetenskap (10502),Baltic and East European studies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-03-15,2018-03-15,2020-03-12,NA,Östersjöstiftelsen [72/2014],11,NA,1,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
1370579,"Warnock, Jonathan (Indiana University of Pennsylvania, Indiana, United States);Andrén, Elinor [sheran04] [0000-0002-6763-1697] (Södertörns högskola [481], Institutionen för naturvetenskap, miljö och teknik [11831], Miljövetenskap [11837]);Juggins, Steve (Newcastle University, Newcastle upon Tyne, United Kingdom);Lewis, Jonathan (Loughborough University, Loughborough, United Kingdom);Ryves, David B. (Loughborough University, Loughborough, United Kingdom);Andrén, Thomas [shtsan06] [0000-0001-5615-6088] (Södertörns högskola [481], Institutionen för naturvetenskap, miljö och teknik [11831], Miljövetenskap [11837]);Weckström, Kaarina (University of Helsinki, Helsinki, Finland)","A high‐resolution diatom‐based Middle and Late Holocene environmental history of the Little Belt region, Baltic Sea",Artikel i tidskrift,Refereegranskat,eng,Boreas,0300-9483,1502-3885,published,NA,1,NA,1,16,2020,NA,NA,NA,John Wiley & Sons,NA,NA,NA,NA,NA,NA,10.1111/bor.12419,000505508500001,NA,2-s2.0-85074585844,urn:nbn:se:sh:diva-39395,NA,NA,NA,Miljövetenskap (10502),Baltic and East European studies,NA,NA,"<p>The large‐scale shifts in the salinity of the Baltic Sea over the Holocene are well understood and have been comprehensively documented using sedimentary proxy records. More recent work has focused on understanding how past salinity fluctuations have affected other ecological parameters (e.g. primary productivity, nutrient content) of the Baltic basin, and salinity changes over key events and over short time scales are still not well understood. The International Ocean Drilling Program Expedition 347 cored the Baltic basin in order to collect basin‐wide environmental records through a glacial–interglacial cycle. Site M0059 is located in the Little Belt between the Baltic Sea and the Atlantic Ocean. A composite splice section from Site M0059 was analysed at a decadal resolution to study changes in salinity, nutrient conditions and other surface water column parameters based on changes in diatom assemblages and on quantitative diatom‐based salinity inferences. A mesotrophic slightly brackish assemblage is seen in the lowermost analysed depths, corresponding to 7800–7500 cal. a BP. An increase in salinity and nutrient content of the water column leads into a meso‐eutrophic brackish phase. The observed salinity increase is rapid, lasting from 7500 to 7150 cal. a BP. Subsequently, the Little Belt becomes oligotrophic and is dominated by tychopelagic diatoms from <em>c</em>. 7100 to <em>c</em>. 3900 cal. a BP. This interval contains some of the highest salinities observed followed by diatom assemblages similar to those of the Northern Atlantic Ocean, composed primarily of cosmopolitan open ocean marine diatoms. A return to tychopelagic productivity is seen from 3850 to 980 cal. a BP. Anthropogenic eutrophication is detected in the last 300 years of the record, which intensifies in the uppermost sediments. These results represent the first decadally resolved record in the region and provide new insight into the transition to a brackish basin and subsequent ecological development.</p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-11-15,2019-11-15,2022-03-02,NA,Östersjöstiftelsen [75/2014],7,NA,2,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
1106726,"Bonca, Sandra (University of  Ljubljana, Ljubljana, Slovenia);Udovc, Andrej (University of  Ljubljana, Ljubljana, Slovenia);Rodela, Romina [shrara12] (Södertörns högskola [481], Institutionen för naturvetenskap, miljö och teknik [11831], Miljövetenskap [11837])",A social marketing perspective on road freight transportation of fresh fruits and vegetables : a Slovene case,Artikel i tidskrift,Refereegranskat,eng,Ekonomska Istrazivanja,1331-677X,1848-9664,published,30,1,NA,1132,1151,2017,NA,NA,NA,Taylor & Francis,NA,NA,NA,NA,NA,NA,10.1080/1331677X.2017.1314820,000401855600001,NA,2-s2.0-85045834999,urn:nbn:se:sh:diva-32729,NA,NA,Self-sufficiency;freight transport;import;sustainability;social marketing;Slovenia,Miljövetenskap (10502);Social och ekonomisk geografi (507),NA,NA,NA,"<p>With the large increase in transportation over the last decades and the associated negative impacts upon the environment and society, a more sustainable use of transport is a crucial policy issue. This analysis focuses on road freight transport of selected produce (carrots, cabbage, apples and pears) with the aim to appraise the sustainability of road freight transport of these for the Slovene market. To this end, we take into account self-sufficiency, import and export features, transport needs, produce origin and prices differences between domestic and non-domestic produce. The method used for obtaining transported quantities, exported from and imported to the county, was material flow accounts (MFA). Then we undertook an analysis of sustainability of road transport of produce where we considered the country's transport needs. The study finds that road freight transport for selected produce is not sustainable. Recognising the normative dimensions of sustainability, the role of social marketing in this context is explored and suggestions on how to promote more sustainable transport solutions advanced.</p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-06-08,2017-06-08,2020-03-30,NA,NA,3,NA,1,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA
1523890,"Dahl, Martin (Stockholms universitet, Sweden);Bergman, Sanne (Stockholms universitet, Sweden);Björk, Mats (Stockholms universitet, Sweden);Diaz-Almela, Elena (Centro de Estudios Avanzados de Blanes, Spanien);Granberg, Maria (IVL Svenska Miljöinstitutet, Sweden);Gullström, Martin [magx20] [0000-0002-7552-2431] (Södertörns högskola [481], Institutionen för naturvetenskap, miljö och teknik [11831], Miljövetenskap [11837]);Leiva-Dueñas, Carmen (Centro de Estudios Avanzados de Blanes, Spanien);Magnusson, Kerstin (IVL Svenska Miljöinstitutet, Sweden);Marco-Méndez, Candela (Centro de Estudios Avanzados de Blanes, Spanien);Piñeiro-Juncal, Nerea (Centro de Estudios Avanzados de Blanes, Spanien; Universidade de 5 Santiago de Compostela, Spanien);Mateo, Miguel Ángel (Centro de Estudios Avanzados de Blanes, Spanien; Edith Cowan University, Australien)",A temporal record of microplastic pollution in Mediterranean seagrass soils,Artikel i tidskrift,Refereegranskat,eng,Environmental Pollution,0269-7491,1873-6424,published,273,NA,NA,NA,NA,2021,NA,NA,NA,Elsevier,NA,NA,NA,NA,NA,NA,10.1016/j.envpol.2021.116451,000625376600040,33486243,2-s2.0-85099614174,urn:nbn:se:sh:diva-43851,NA,NA,Anthropogenic pressures;Microplastics;Paleoarchives;Plastic pollution;Seagrass soils,Miljövetenskap (10502),NA,NA,NA,"<p>Plastic pollution is emerging as a potential threat to the marine environment. In the current study, we selected seagrass meadows, known to efficiently trap organic and inorganic particles, to investigate the concentrations and dynamics of microplastics in their soil. We assessed microplastic contamination and accumulation in <sup>210</sup>Pb dated soil cores collected in Posidonia oceanica meadows at three locations along the Spanish Mediterranean coast, with two sites located in the Almería region (Agua Amarga and Roquetas) and one at Cabrera Island (Santa Maria). Almería is known for its intense agricultural industry with 30 000 ha of plastic-covered greenhouses, while the Cabrera Island is situated far from urban areas. Microplastics were extracted using enzymatic digestion and density separation. The particles were characterized by visual identification and with Fourier-transformed infrared (FTIR) spectroscopy, and related to soil age-depth chronologies. Our findings showed that the microplastic contamination and accumulation was negligible until the mid-1970s, after which plastic particles increased dramatically, with the highest concentrations of microplastic particles (MPP) found in the recent (since 2012) surface soil of Agua Amarga (3819 MPP kg<sup>-1</sup>), followed by the top-most layers of the soil of the meadows in Roquetas (2173 kg<sup>-1</sup>) and Santa Maria (68-362 kg<sup>-1</sup>). The highest accumulation rate was seen in the Roquetas site (8832 MPP m<sup>-2</sup> yr<sup>-1</sup>). The increase in microplastics in the seagrass soil was associated to land-use change following the intensification of the agricultural industry in the area, with a clear relationship between the development of the greenhouse industry in Almería and the concentration of microplastics in the historical soil record. This study shows a direct linkage between intense anthropogenic activity, an extensive use of plastics and high plastic contamination in coastal marine ecosystems such as seagrass meadows. We highlight the need of proper waste management to protect the coastal environment from continuous pollution.</p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-01-29,2021-01-29,2021-11-15,NA,Helge Ax:son Johnsons stiftelse,11,NA,1,NA,NA,NA,NA,116451,TRUE,TRUE,NA,NA
1366579,"Remling, Elise [sheerg14] (Södertörns högskola [481], Institutionen för naturvetenskap, miljö och teknik [11831], Miljövetenskap [11837]) (Södertörns högskola [481], Centrum för Östersjö- och Östeuropaforskning (CBEES) [496], Baltic & East European Graduate School (BEEGS) [483])","Adaptation, now? : Exploring the Politics of Climate Adaptation through Poststructuralist Discourse Theory","Doktorsavhandling, sammanläggning",Övrigt vetenskapligt,eng,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,NA,189,Huddinge,Södertörns högskola,Södertörn Doctoral Dissertations ; 168,1652-7399,1652-7399,978-91-88663-78-8;978-91-88663-79-5,NA,NA,NA,NA,NA,NA,urn:nbn:se:sh:diva-39234,NA,NA,Climate change adaptation; Adaptation policy development; Politics of adaptation; Discourse; Poststructuralist Discourse Theory; Logics of Critical Explanation; Discourse Analysis; European Union; Germany; Qualitative policy analysis; Critical policy studies; Fantasy; Depoliticisation,Miljövetenskap (10502);Kulturgeografi (50701);Tvärvetenskapliga studier inom samhällsvetenskap (50901);Statsvetenskap (exklusive studier av offentlig förvaltning och globaliseringsstudier) (50601),Environmental Studies;Baltic and East European studies,NA,NA,"<p>Increasing evidence of anthropogenic climate change and the recognition that warming is likely to go beyond 2°C raises the need for responses that help people cope with the anticipated changes. The rise of attention to so-called climate adaptation on political agendas at the local, national and international scale has come about with a hastily growing field of academic knowledge production. But while adaptation choices are inherently political, adaptation has been largely considered a ‘problem free’ process and ‘tame’ challenge; only a relatively small strand of scholarly work engages in critical enquiry into the idea of adaptation, the discursive practices through which it is imagined, and related questions of power and politics.</p><p>Responding to calls for more attention to the socio-political dimensions of adaptation and for conceptually embedded research, this thesis investigates the creation, interpretation and use of adaptation as a concept in research, policy and practice. Drawing on Poststructuralist Discourse Theory and the so-called Logics of Critical Explanation in particular, it develops a perspective through which the politics of adaptation can be investigated in a theoretically and methodologically consistent and transparent manner. Through a close analysis of official adaptation discourses at the international level, the EU level, and the national level in Germany, the thesis enquires into the discursive practices around adaptation responses and what these different discourses open up or limit in terms of broader implications for political action.</p><p>The contributions of the thesis are empirical, methodological and conceptual. In addition to providing critical insights into contemporary understandings of adaptation, including revealing some depoliticising ‘building blocks’ in conventional adaptation discourses, the thesis makes two important conceptual contributions to the growing field of critical adaptation studies: (1) It suggests that the increasing interconnectedness between people and places makes it impossible to know whether adaptation efforts undertaken have in reality reduced net vulnerability or simply shuffled vulnerability across the board. Ignoring the potential for such redistributive effects can have significant consequences in practice and will likely lead to unsustainable and, in the long run, maladaptive outcomes. (2) It argues that non-rational and affective dimensions are vital to the emergence of adaptation responses and that paying attention to them is important if critical scholarship is to understand and intervene in the persistence of techno-managerial approaches to adaptation. Furthermore, to the field of critical policy studies this thesis makes a methodological contribution by developing a new analytical framework for poststructuralist policy analysis.</p>;<p>Vi ser allt starkare bevis på att de antropogena klimatförändringarna, trots internationella ansträngningar att begränsa utsläppen av växthusgaser, troligen kommer att överstiga tvågradersmålet. Detta kommer att leda till omfattande förändringar av vår livsmiljö, vilket i sin tur kommer att kräva betydande åtgärder för anpassning. Intresset för klimatanpassning har ökat på lokala, nationella och internationella politiska dagordningar, samtidigt som forskningen på området har intensifierats. Men trots att besluten om implementering av specifika åtgärder i grunden är politiska, har klimatanpassningen ofta betraktats som en ”problemfri” process, eller en ”tam” utmaning. Hittills har endast en relativt liten del av forskningen analyserat den pågående debatten om anpassningen, samt hur de dominerande diskurserna och de föreslagna lösningarna är sammanlänkade med frågor om makt och politik.</p><p>Den här avhandlingen sätter de socio-politiska dimensionerna av klimatanpassningen i fokus och undersöker empiriskt och teoretiskt hur själva fenomenet ”klimatanpassning” uppstår, tolkas och används som ett begrepp inom forskning, politik och praktik. Med avstamp i poststrukturalistisk diskursteori – och i synnerhet det så kallade logikperspektivet (även kallat Logics of Critical Explanation, eller the logics approach)– vidareutvecklas här ett analytiskt ramverk som syftar till att undersöka anpassningspolitiken på ett konsekvent och transparent sätt. Med utgångspunkt i empiriska analyser av officiella anpassningsdiskurser på internationell nivå, europeisk nivå (EU) och nationell nivå i Tyskland undersöks hur olika diskursiva logiker möjliggör eller begränsar förutsättningarna för politiskt handlande.</p><p>Avhandlingens bidrag är alltså såväl empiriska som begreppsliga och metodologiska. Empiriskt bidrar den med kritiska insikter och visar hur de vanligast förekommande samtida anpassningsdiskurserna innehåller viktiga avpolitiserande aspekter (till exempel genom att inkorporeras i en nyliberal marknadsdiskurs). Dess viktigaste teoretiska bidrag till det växande fältet av kritiska anpassningsstudier är för det första en diskussion om hur den ökande sammankopplingen mellan människor och platser gör det omöjligt att veta om arbetet för anpassning på specifika platser verkligen minskar den totala sårbarheten eller om det bara förflyttar sårbarheten någon annanstans. Att bortse från sådana omfördelningseffekter kan få betydande konsekvenser och kommer troligen att leda till ohållbara strategier – och därmed i längden till missanpassning snarare än anpassning. För det andra visar avhandlingen att icke-rationella och affektiva (känsloladdade) dimensioner är centrala i anpassningspolitiken och att det är viktigt att vara uppmärksam på dem för att förstå och förändra de nuvarande teknik- och managementorienterade anpassningsstrategierna. Avhandlingen bidrar även med metodologiska insikter till forskningsfältet ”kritiska policystudier” genom att utveckla ett nytt analytiskt ramverk för poststrukturalistisk policyanalys.</p>","Juhola, Sirkku, Professor at Ecosystems and Environment Research Programme","Gunnarsson Payne, Jenny, Professor (Södertörns högskola [481], Institutionen för historia och samtidsstudier [11802], ;;;Etnologi [11806])Persson, Åsa, PhD",NA,NA,NA,NA,NA,NA,NA,"MA 624, Alfred Nobels allé 7, Huddinge",eng,2019-11-25T13:00:00Z,2019-10-29,2019-11-01,2020-12-18,http://sh.diva-portal.org/smash/get/diva2:1366579/FULLTEXT01.pdf,Östersjöstiftelsen,1,NA,0,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
1283202,"Saunders, Fred P. [shfdss03] [0000-0003-2166-5717] (Södertörns högskola [481], Institutionen för naturvetenskap, miljö och teknik [11831], Miljövetenskap [11837]);Gilek, Michael [shmlgk] [0000-0001-8536-373X] (Södertörns högskola [481], Institutionen för naturvetenskap, miljö och teknik [11831], Miljövetenskap [11837]);Tafon, Ralph [shrhtn15] [0000-0003-2264-6892] (Södertörns högskola [481], Institutionen för naturvetenskap, miljö och teknik [11831], Miljövetenskap [11837])",Adding People to the Sea : Conceptualizing Social Sustainability in Maritime Spatial Planning,"Kapitel i bok, del av antologi",Refereegranskat,eng,NA,NA,NA,NA,NA,NA,"Maritime Spatial Planning : past, present, future",175,199,2019,NA,NA,Cham,Palgrave Macmillan,NA,NA,NA,978-3-319-98695-1;978-3-319-98696-8,NA,NA,10.1007/978-3-319-98696-8_8,000487297300009,NA,NA,urn:nbn:se:sh:diva-37455,2186/3.1.1/2014,NA,Development studies,Miljövetenskap (10502),Baltic and East European studies;Environmental Studies,BONUS BALTSPACE project,"<p>This work was the result of (1) the BONUS BALTSPACE project and was supported by BONUS (Art 185), funded jointly by the EU, Swedish Research Council FORMAS and other Baltic Sea national funding institutions and (2) research funding from The Foundation for Baltic and East European Studies.</p>","<p>While there is growing critique emerging to address social sustainability in marine/maritime spatial planning (MSP), overwhelmingly attention has been on governance, economic and environmental aspects. This chapter redresses this by proposing a conceptual framework to elucidate key features of social sustainability in MSP. The ambition is to both note the existing critique of MSP and go beyond it by more clearly and comprehensively articulating how social sustainability could be conceived in MSP, as well as how this framework could be applied to analyse MSP practice. Key features of social sustainability elaborated are: deepening democratic decision-making, inclusion of socio-cultural values and knowledge, equitable distribution and social cohesion. Finally, the chapter concludes by nominating strategies to give greater visibility to social sustainability as a key MSP concern.</p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-28,2019-01-28,2020-02-24,NA,"EU, Europeiska forskningsrådet;Östersjöstiftelsen [27/2014];Forte, Forskningsrådet för hälsa, arbetsliv och välfärd;Vetenskapsrådet",3,NA,2,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA
1452315,"Jokinen, Johanna Carolina;Gallardo Fernández, Gloria L. [shgago17] [0000-0002-7538-004x] (Södertörns högskola [481], Institutionen för naturvetenskap, miljö och teknik [11831], Miljövetenskap [11837]);Makii, Justin",Adjusting the Research Agenda to Local Realities: Experiences from Chile,"Kapitel i bok, del av antologi",Övrigt vetenskapligt,eng,NA,NA,NA,NA,NA,NA,Co-creating Actionable Science : Reflections from the Global North and South,71,96,2020,NA,NA,Newcastle upon Tyne,Cambridge Scholars Publishing,NA,NA,NA,978-1-5275-4847-3,NA,NA,NA,NA,NA,NA,urn:nbn:se:sh:diva-41525,NA,NA,Development studies,Miljövetenskap (10502),Environmental Studies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-07-06,2020-07-06,2020-07-06,NA,NA,3,NA,1,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
1382029,"Tobieson, Ulrika [shuatn11] (Södertörns högskola [481], Lärarutbildningen [873601], Lärarutbildning och Estetiska lärprocesser [886703]);Mutvei, Ann [shanmz] (Södertörns högskola [481], Institutionen för naturvetenskap, miljö och teknik [11831], Matematikens didaktik [15800])",Aesthetic Expression Enhances and Deepens Teacher Students Understanding of Science Subject Matter,Konferensbidrag,Refereegranskat,eng,NA,NA,NA,NA,NA,7,"New perspectives in science education : 7th edition: Florence, Italy, 22-23 March 2018",NA,NA,2018,NA,NA,NA,Libreriauniversitaria.it,International conference New perspectives in science education,2420-9732,NA,8862929765,https://conference.pixel-online.net/NPSE/prevedition.php?id_edition=27&mat=CPR,NA,NA,NA,NA,NA,urn:nbn:se:sh:diva-39683,NA,NA,Aesthetic expression;integrating art with science;learning outcome;,Didaktik (50302),NA,NA,NA,"<p>Courses and modules within undergraduate programs should be developed and implemented in a way that the students experience deepens and contributes growth of knowledge. Therefore, as teachers we must create a variation of different learning possibilities in order to challenge, motivate and enhance the understanding of theories and abstract models in science and their impact on everyday life experience and conditions. Södertörn University has experience of combining aesthetic expression with science in pre-service teacher program for about fifteen years where we have seen the benefits of embodying abstract theories through art for a better understanding of science subject matter. The integration of science and aesthetic forms of expressions is supported by the Swedish curriculum both for preschool and compulsory school. We use an interdisciplinary knowledge based environmental teaching, basing part of the reflection process with a frame in phenomenology and art-based intermodal theory. Intermodal theory coined by professor emeritus Paolo Knill starts with amodal-perception. Perception as “the ability to see, hear, or become aware of something through the senses” while observation is described as “the action or process of closely observing or monitoring something or someone” were observe is to “notice or perceive (something) and register it as being significant” [1]. Thus, observation is a more complex action where it is necessary to interpret the gathering of what has been paid attention to by perceiving without judgment and putting it into a coherent context. Here we present integration of Aesthetic learning process with science subject matter in order to enhance and deepen students understanding. This was performed in a ten-week science course with a total of 54 pre-service preschool teacher students. We worked with and created two- and three-dimensional images and kinetic-aesthetic sculptures parting from phenomenon such as friction and gravity, the phases of Venus and the moon, different materials isolation and conductive qualities etc. Nearly two years after completed science-course the students answered a questionnaire demonstrated several perspectives of understanding.</p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-12-31,2019-12-31,2022-04-08,http://sh.diva-portal.org/smash/get/diva2:1382029/FULLTEXT01.pdf,NA,2,NA,0,NA,publishedPaper,"New Perspective in Science Education, Florence, March 22-23, 2018.",NA,NA,TRUE,TRUE,NA,NA
