NMT,2021,2020,2019,2018,2017
Artikel i tidskrift: Övrigt vetenskapligt,1,1,3,6,5
Artikel i tidskrift: Refereegranskat,21,28,42,42,47
"Artikel, forskningsöversikt: Refereegranskat",0,1,2,2,1
"Artikel, recension: Övrigt vetenskapligt",0,0,1,0,2
Bok: Övrigt vetenskapligt,0,0,0,0,1
Bok: Refereegranskat,0,1,0,2,1
"Doktorsavhandling, monografi: Övrigt vetenskapligt",0,0,1,0,2
"Doktorsavhandling, sammanläggning: Övrigt vetenskapligt",1,2,2,1,3
"Kapitel i bok, del av antologi: Övrigt vetenskapligt",1,4,6,6,6
"Kapitel i bok, del av antologi: Refereegranskat",4,4,4,3,4
Konferensbidrag: Övrigt vetenskapligt,0,3,0,0,0
Konferensbidrag: Refereegranskat,8,8,8,9,9
"Licentiatavhandling, sammanläggning: Övrigt vetenskapligt",0,0,1,0,0
Rapport: Övrigt vetenskapligt,0,1,2,2,6
Rapport: Refereegranskat,0,0,2,0,0
Samlingsverk (redaktörskap): Övrigt vetenskapligt,0,1,0,0,2
Samlingsverk (redaktörskap): Refereegranskat,1,0,0,0,0
