PID,Name,Title,PublicationType,ContentType,Language,Journal,JournalISSN,JournalEISSN,Status,Volume,Issue,HostPublication,StartPage,EndPage,Year,Edition,Pages,City,Publisher,Series,SeriesISSN,SeriesEISSN,ISBN,Urls,ISRN,DOI,ISI,PMID,ScopusId,NBN,LocalId,ArchiveNumber,Keywords,Categories,ResearchSubjects,Projects,Notes,Abstract,Opponents,Supervisors,Examiners,Patent,ThesisLevel,Credits,Programme,Subject,Uppsok,DefencePlace,DefenceLanguage,DefenceDate,CreatedDate,PublicationDate,LastUpdated,FullTextLink,Funder,NumberOfAuthors,ExternalCooperation,FridaLevel,PartOfThesis,PublicationSubtype,Conference,Term,ArticleId,Reviewed,FreeFulltext,SustainableDevelopment,Contributor
1638230,"Raninen, Jonas [jora20] [0000-0002-6938-0246] (Södertörns högskola [481], Institutionen för samhällsvetenskaper [11822], Socialt arbete [11829]) (Swedish Council for Information on Alcohol and Other Drugs (CAN), Sweden;  Karolinska Institutet, Sweden; La Trobe University, Australia);Livingston, M. (Karolinska Institutet, Sweden; La Trobe University, Australia; Curtin University, Australia);Ramstedt, M. (Swedish Council for Information on Alcohol and Other Drugs (CAN), Sweden; Karolinska Institutet, Sweden; Stockholm University; Sweden);Zetterqvist, M. (Swedish Council for Information on Alcohol and Other Drugs (CAN), Sweden);Larm, P. (Stockholm University, Sweden);Svensson, J. (Swedish Council for Information on Alcohol and Other Drugs (CAN), Sweden; Karolinska Institutet, Sweden; Stockholm University; Sweden)",17 Is the New 15 : Changing Alcohol Consumption among Swedish Youth,Artikel,Refereegranskat,eng,International Journal of Environmental Research and Public Health,1661-7827,1660-4601,published,19,3,NA,NA,NA,2022,NA,NA,NA,MDPI,NA,NA,NA,NA,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8835253/,NA,10.3390/ijerph19031645,000756297900001,35162666,2-s2.0-85123639704,urn:nbn:se:sh:diva-48414,NA,NA,Age of onset;Alcohol;Survey;Sweden;Youth,"Folkhälsovetenskap, global hälsa, socialmedicin och epidemiologi (30302)",NA,NA,NA,"<p>To examine and compare trends in drinking prevalence in nationally representative samples of Swedish 9th and 11th grade students between 2000 and 2018. A further aim is to compare drinking behaviours in the two age groups during years with similar drinking prevalence. Data were drawn from annual surveys of a nationally representative sample of students in year 9 (15–16 years old) and year 11 (17–18 years old). The data covered 19 years for year 9 and 16 years for year 11. Two reference years where the prevalence of drinking was similar were extracted for further comparison, 2018 for year 11 (n = 4878) and 2005 for year 9 (n = 5423). The reference years were compared with regard to the volume of drinking, heavy episodic drinking, having had an accident and quarrelling while drunk. The prevalence of drinking declined in both age groups during the study period. The rate of decline was somewhat higher among year 9 students. In 2018, the prevalence of drinking was the same for year 11 students as it was for year 9 students in 2005. The volume of drinking was lower among year 11 students in 2018 than year 9 students in 2005. No differences were observed for heavy episodic drinking. The decline in drinking has caused a displacement of consumption so that today’s 17–18-year-olds have a similar drinking behaviour to what 15–16-year-olds had in 2005.</p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-02-16,2022-02-16,2022-03-11,NA,"Forte, Forskningsrådet för hälsa, arbetsliv och välfärd [2017-01741];Forte, Forskningsrådet för hälsa, arbetsliv och välfärd [2021-01725]",6,NA,deprecated,NA,NA,NA,NA,1645,TRUE,TRUE,NA,NA
1824311,"Turunen, Jaakko [shjotn09] [0000-0003-0634-4157] (Södertörns högskola [481], Institutionen för samhällsvetenskaper [11822], Offentlig förvaltning [884753])",A Case for Deep Learning Through Online Oral Examinations : An Autoethnographical Exploration of a Change of Assessment Method,Artikel,Refereegranskat,eng,Högre Utbildning,NA,2000-7558,published,13,3,NA,72,86,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.23865/hu.v13.3172,NA,NA,2-s2.0-85181891195,urn:nbn:se:sh:diva-52996,NA,NA,deep-learning;online oral examination;constructive alignment;quantitative methods;methods teaching,Pedagogik (50301),Studies in the Educational Sciences,NA,NA,"<p>The Covid-19 pandemic made digital oral exams a necessity for most higher education courses in Sweden and elsewhere in the world. Yet, more reflection on oral examination could help understand their utility in contemporary higher education. This paper probes the relationship between learning habits and assessment through an autoethnographic exploration into oral examination in an intermediate quantitative methods class for social science students in Sweden. Drawing on theories on constructive alignment and deep learning, this article makes the case for oral examinations as facilitating deep(er) learning. At the same time, the article discusses the oral examination as a critical way to think about the formal assessment culture brought about by ever tightening teaching budgets and external audits.</p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-01-04,2024-01-04,2024-01-16,NA,NA,1,NA,deprecated,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA
1735880,"Fittante, Daniel [dafi21] [0000-0002-2807-5931] (Södertörns högskola [481], Institutionen för samhällsvetenskaper [11822], Sociologi [11841])",‘A community of values’ : unpacking U.S. intermediation in Latvia’s 2022 Holocaust restitution law,Artikel,Refereegranskat,eng,European Societies,1461-6696,1469-8307,published,25,5,NA,753,775,2023,NA,NA,NA,Routledge,NA,NA,NA,NA,NA,NA,10.1080/14616696.2023.2172198,000929051400001,NA,2-s2.0-85147747472,urn:nbn:se:sh:diva-50978,NA,NA,Transitional justice;Holocaust;Latvia;victimhood nationalism;post-communism,Sociologi (504),Baltic and East European studies,NA,NA,"<p>Transitional justice scholarship has importantly analyzed how European groups use Holocaust-related legislation to create a unified political culture. While this research has made many valuable contributions, it does not include various other external actors, who also influence European political culture through transitional justice measures related to the Holocaust. This analysis expands the existing research about transitional justice and Holocaust restitution by analyzing the influential role U.S. intermediation played in Latvia’s 2022 Holocaust restitution law. The findings of this research do not contradict the existing scholarship; rather, they broaden it by unpacking how the U.S. influences European political culture through Holocaust restitution legislation.</p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-02-10,2023-02-10,2023-11-24,NA,Östersjöstiftelsen,1,NA,deprecated,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA
1375613,"Reardon, James (University of Northern Colorado, Greeley, CO, USA);McCorkle, Denny (University of Northern Colorado, Greeley, CO, USA);Radon, Anita [shaarn18] (Södertörns högskola [481], Institutionen för samhällsvetenskaper [11822], Företagsekonomi [11823]);Abraha, Desalegn (Högskolan i Skövde)",A global consumer decision model of intellectual property theft,Artikel,Refereegranskat,eng,Journal of Research in Interactive Marketing,2040-7122,NA,published,13,4,NA,509,528,2019,NA,NA,NA,Emerald Group Publishing Limited,NA,NA,NA,NA,NA,NA,10.1108/JRIM-07-2018-0093,000496279400005,NA,2-s2.0-85074909062,urn:nbn:se:sh:diva-39503,NA,NA,SEM;Ethics;Cross-cultural;Music industry;Intellectual property,Företagsekonomi (50202),NA,NA,NA,"<p>Purpose Intellectual property theft amounts to billions of dollars per year worldwide. The first step in stemming this loss is to understand the underlying precursors of this behavior. This paper aims to propose and test a model of consumer choice to purchase or pirate intellectual property, specifically music. This paper combines and applies the theory of reasoned action (TRA) and Becker's theory of crime to develop a more comprehensive model of digital piracy behavior. Culture was tested as an antecedent to the attitudes and the perceptions of risk associated with music piracy. Design/methodology/approach A survey of 4,618 participants was conducted across 23 countries. Construct measures were validated using confirmatory factor analysis in LISREL. A conceptual model was tested using logistic structural equation modeling in MPlus. Respondents were asked about the last music they acquired to test a behavioral model of music piracy. Findings The results indicated that culture, specifically rule orientation and uncertainty avoidance, had a significant impact on attitudes toward the music industry, ethical perceptions of music piracy and risk perceptions. Respondents' ethical perceptions of downloading had the highest impact on music piracy behavior. The personal/copy risk associated with the illegal downloading of music had a significant impact while the relative channel risk did not. The market value, quality and selection also had a significant impact on downloading behavior, as did the respondent's ability to find and download music. Research limitations/implications - While this paper was limited by focusing on the illegal downloading of music, the results can provide guidance in the design of future research concerning the piracy and unlicensed downloading of other types of intellectual properties such as movies/videos, TV, paywall content and e-books. Practical implications - In recent years, improved access to music and video through online streaming and online stores has significantly decreased music piracy. This research indicated that further inroads into this behavior could be made through better online purchase access and through consumer education about the ethics and results of digital downloading. Further, efforts are more efficient by targeting cultures with lower levels of rule orientation with ethics education and targeted risk messages in countries with higher uncertainty avoidance. Social implications Yearly losses to the music industry amount to about $5-29bn. Many find music and video downloading and ""sharing"" as acceptable. The model developed in this research has implications to affect this mass loss of revenue to the music industry and perhaps the societal view of downloading behavior that is illegal but commonly accepted. Originality/value This model is the first to integrate cultural aspects into models of digital piracy. In addition, the model is developed from a strong theoretical base (TRA and Becker's theory of crime) to integrate multiple antecedents to intellectual property theft research.</p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-12-05,2019-12-05,2019-12-11,NA,NA,4,NA,deprecated,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
1725224,"Hultman, Lill [shllhn19] [0000-0001-6333-2852] (Södertörns högskola [481], Institutionen för samhällsvetenskaper [11822], Socialt arbete [11829]) (Marie Cederschiöld University Collage, Sweden);Tideman, M. [0000-0002-7519-6488] (Marie Cederschiöld University Collage, Sweden);Eriksson, M. [0000-0002-7261-6643] (Marie Cederschiöld University Collage, Sweden)",‘A Limited Guardian Should First and Foremost Get to Know the Person He Helps’ : Experiences of Having a Limited Guardian from the Perspective of Adults with Intellectual Disability,Artikel,Refereegranskat,eng,Scandinavian Journal of Disability Research,1501-7419,1745-3011,published,24,1,NA,288,301,2022,NA,NA,NA,Stockholm University Press,NA,NA,NA,NA,NA,NA,10.16993/sjdr.949,000905253800001,NA,2-s2.0-85144642640,urn:nbn:se:sh:diva-50577,NA,NA,assisted decision-making;human rights;intellectual disability;Limited guardian;qualitative analysis;Sweden,Socialt arbete (50402),NA,NA,NA,"<p>One goal with the UN Convention on the Rights of Persons with Disabilities is ensuring that persons with disabilities have the right to support in reaching and acting upon decisions. The aim of this pilot study was to explore how adults with intellectual disability describe their experiences of receiving support and being represented by a limited guardian. Two overall themes emerged from eight qualitative individual semi-structured interviews: Indispensable and valuable support and Mismanagement of the assignment. Our findings showed that limited guardianship is more complex than it may initially seem due to overlaps between protecting rights, ensuring support for the person, and managing financial matters. Mutual trust and the guardian’s ability to listen and be open to the client’s changing needs reduced the risk of the client being misrepresented or receiving insufficient support. To support assisted decision-making, limited guardians must develop their pedagogical skills and gain knowledge about intellectual disability. </p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-01-10,2023-01-10,2023-01-27,NA,NA,3,NA,deprecated,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA
1254578,"Inagawa, Takuma (National Center Hospital, National Center of Neurology and Psychiatry, Kodaira, Tokyo, Japan);Narita, Zui (National Center Hospital, National Center of Neurology and Psychiatry, Kodaira, Tokyo, Japan);Sugawara, Norio (Translational Medical Center, National Center of Neurology and Psychiatry, Tokyo, Japan);Maruo, Kazushi (University of Tsukuba, Tsukuba, Ibaraki, Japan);Stickley, Andrew [SH99AWSY] [0000-0002-1260-2223] (Södertörns högskola [481], Institutionen för samhällsvetenskaper [11822], SCOHOST (Stockholm Centre for Health and Social Change) [11844]) ( National Institute of Mental Health, National Center of Neurology and Psychiatry, Kodaira, Tokyo);Yokoi, Yuma (National Center Hospital, National Center of Neurology and Psychiatry, Kodaira, Tokyo, Japan);Sumiyoshi, Tomiki (National Institute of Mental Health, National Center of Neurology and Psychiatry, Kodaira, Tokyo, Japan)",A Meta-Analysis of the Effect of Multisession Transcranial Direct Current Stimulation on Cognition in Dementia and Mild Cognitive Impairment,Artikel,Refereegranskat,eng,Clinical EEG and Neuroscience,1550-0594,2169-5202,published,50,4,NA,273,282,2019,NA,NA,NA,Sage Publications,NA,NA,NA,NA,NA,NA,10.1177/1550059418800889,000469869900006,30229671,2-s2.0-85059696844,urn:nbn:se:sh:diva-36510,NA,NA,brain stimulation;cognition;meta-analysis;neurocognitive disorder;tDCS,Sociologi (504),NA,NA,NA,"<p>There have been increasing efforts to investigate the effects of neuromodulation techniques, such as transcranial direct current stimulation (tDCS), on cognitive impairment in dementia and related conditions. In this systematic review and meta-analysis, we assessed the efficacy of multisession anodal tDCS compared with sham stimulation for improving global cognition and specific cognitive domains in both Alzheimer's disease and mild cognitive impairment. Eight articles meeting the criteria for inclusion in the meta-analysis were selected. Five studies used the Mini-Mental State Examination to examine mild cognitive impairment and dementia. In a fixed-effect model, there was a mean difference in the change score of -0.13 points. Three trials for dementia using the Alzheimer's Disease Assessment Scale-Cognition showed a mean difference of -0.53 points. At present, there is a lack of clear evidence concerning the efficacy of multisession anodal tDCS due to the small number of studies and different measures used. This underscores the need for further investigations using larger samples and common outcome measures.</p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-10-09,2018-10-09,2019-11-06,NA,NA,7,NA,deprecated,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
1655251,"Blomqvist Mickelsson, Tony [tomi20] [0000-0003-2934-9313] (Södertörns högskola [481], Institutionen för samhällsvetenskaper [11822], Socialt arbete [11829]) (Södertörns högskola [481], Centrum för Östersjö- och Östeuropaforskning (CBEES) [496])",A morphogenetic approach to sport and social inclusion: a case study of good will’s reproductive power,Artikel,Refereegranskat,eng,"Sport in Society: Cultures, Media, Politics, Commerce",1743-0437,1743-0445,published,26,5,NA,837,853,2023,NA,NA,NA,Routledge,NA,NA,NA,NA,NA,NA,10.1080/17430437.2022.2069013,000788980200001,NA,2-s2.0-85129196524,urn:nbn:se:sh:diva-48852,NA,NA,social inclusion;critical realism;the morphogenetic approach;social change;migration,Internationell Migration och Etniska Relationer (IMER) (50904),Baltic and East European studies,NA,NA,"<p>Recently, it has been suggested that critical realism offers a potential lens to understand sport and social change. This paper utilizes a case study with a Swedish martial arts club, renowned for its social inclusion culture and undertaking of a refugee initiative. I analyze this material according to Archer’s (1995) morphogenetic approach. The results show that several issues prevent the refugees’ social inclusion. According to the morphogenetic approach, these issues are due to structural- and cultural conditions, which partially set the stage for how the club responds to diversity. In contemplating incidents that hamper the initiative, informants deliberated how refugees fail to adopt specific ways of training and behaving. The narratives reflect the broader Swedish political climate concerning migrants’ adaptation, where assimilation, rather than integration, is preferred. Thus, the paper contributes towards the (critical) realist-understanding of sport and social inclusion and offers insights into generative mechanisms that underpin exclusionary practices.</p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-05-02,2022-05-02,2023-07-14,NA,NA,1,NA,deprecated,urn:nbn:se:sh:diva-51799,NA,NA,NA,NA,TRUE,TRUE,NA,NA
1670035,"Hamrén, Ellinor (Södertörns högskola [481], Institutionen för samhällsvetenskaper [11822], Statsvetenskap [11830]) (Södertörns högskola [481], Centrum för Östersjö- och Östeuropaforskning (CBEES) [496], Baltic & East European Graduate School (BEEGS) [483])",A Nationalism of Good Intentions : Dilemmas of inclusion and exclusion,Licentiatavhandlingar,Övrigt vetenskapligt,eng,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA,77,Huddinge,Södertörns högskola,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,urn:nbn:se:sh:diva-49258,NA,NA,NA,Statsvetenskap (506),"Politics, Economy and the Organization of Society;Baltic and East European studies",NA,NA,"<p>The dissertation analyses ethical aspects of nationalism and criticizes the nation-state paradigm. Based on theories that concern various forms of 'benign' nationalism, the dissertation explores fantasies of inclusion with the help of various 'positions'. The question is:<em> How are national identities, which are able to include ethnic minorities, constructed to be ethically justifiable, and what do the fantasies that sustain these ideas look like?</em> Empirically I have worked with media material and have conducted focus groups with various ethno-political activists in Sweden and Finland. These minority groups are discussed based on the positions they hold in relation to the idea of the nation, and also the positions they would hypothetically end up in if their ethno-political struggle were successful. The dissertation is based on a discourse theoretical approach, with specifically the concept of <em>fantasy</em> being utilised from the discourse theoretical framework. My conclusion is that what I call the 'Fantasy of Inclusion', that is, a fantasy that the discourse of nations has taught us to desire, is based on ignoring the ethnic character of different groups in cases where it becomes ""uncomfortable"" in order to maintain the idea of inclusion as 'benign'.</p>","Reinikainen, Jouni, PhD in Political Science","Borevi, Karin, Associate Professor (Södertörns högskola [481], Institutionen för samhällsvetenskaper [11822], ;;;;;Statsvetenskap [11830])Eriksson, Johan, Professor (Södertörns högskola [481], Institutionen för samhällsvetenskaper [11822], ;;;;;Statsvetenskap [11830])Gunnarsson Payne, Jenny, Professor (Södertörns högskola [481], Institutionen för historia och samtidsstudier [11802], ;;;Etnologi [11806])",NA,NA,NA,NA,NA,NA,NA,"Alfred Nobels allé 7, Huddinge",swe,2021-12-17T13:30:00Z,2022-06-15,2022-06-15,2022-11-07,https://sh.diva-portal.org/smash/get/diva2:1670035/FULLTEXT01.pdf,Östersjöstiftelsen,1,NA,deprecated,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
1603580,"Jedenheim Edling, Magnus [maje19] [0000-0003-2587-1681] (Södertörns högskola [481], Institutionen för samhällsvetenskaper [11822], Statsvetenskap [11830]) (Uppsala University, Sweden; Stockholm University, Sweden)",A new principle of plural harm,Artikel,Refereegranskat,eng,Philosophical Studies,0031-8116,1573-0883,published,179,NA,NA,1853,1872,2022,NA,NA,NA,Springer,NA,NA,NA,NA,NA,NA,10.1007/s11098-021-01735-9,000703953600001,NA,2-s2.0-85116416498,urn:nbn:se:sh:diva-46569,NA,NA,NA,Filosofi (60301),NA,NA,NA,"<p>According to the counterfactual comparative account (CCA), an event harms a person if and only if it makes things worse for her. Cases of overdetermination and preemption pose a serious challenge to CCA since, in these cases, although it is evident that people are harmed, there are no individual events that harm them. However, while there are no individual events that make people worse off in cases of overdetermination and preemption, there are pluralities of events that do so. In light of this feature of these cases, several philosophers have suggested that it is these pluralities that do the harming. In this article, I will argue that although the most prominent accounts of plural harm - e.g., Neil Feit's account - fare better than one might initially think, they fail to deal adequately with a number of intriguing cases of preemption first introduced by Alastair Norcross. I will also introduce a new view on plural harm and argue that this view, apart from dealing with the cases of overdetermination and preemption that the other accounts of plural harm handle, also deals adequately with Norcross's cases.</p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-10-15,2021-10-15,2022-09-15,https://sh.diva-portal.org/smash/get/diva2:1603580/FULLTEXT01.pdf,Helge Ax:son Johnsons stiftelse  [F19-0472],1,NA,deprecated,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA
1736668,"Aylott, Nicholas [shnsat06] [0000-0001-9346-2324] (Södertörns högskola [481], Institutionen för samhällsvetenskaper [11822], Statsvetenskap [11830]);Bolin, Niklas [0000-0002-2597-363X] (Mid Sweden University, Sweden)",A new right : the Swedish parliamentary election of September 2022,Artikel,Refereegranskat,eng,West European Politics,0140-2382,1743-9655,published,46,5,NA,1049,1062,2023,NA,NA,NA,Routledge,NA,NA,NA,NA,NA,NA,10.1080/01402382.2022.2156199,000911456600001,NA,NA,urn:nbn:se:sh:diva-51002,NA,NA,Sweden;election;parties;party system;government formation,Statsvetenskap (exklusive studier av offentlig förvaltning och globaliseringsstudier) (50601),NA,NA,NA,"<p>The Swedish parliamentary election of 11 September 2022 led to the removal of a Social Democratic government and the installation of a right-of-centre coalition. The change was made possible by the mainstream right's abandonment of the previous cordon sanitaire around the radical-right Sweden Democrats (SD). The new government, consisting of the Moderates, the Christian Democrats and the Liberals, concluded a comprehensive agreement with SD. In this article, we sketch the background to the election; describe how the campaign unfolded; and interpret the results and outcome.</p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-02-14,2023-02-14,2023-06-13,NA,NA,2,NA,deprecated,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA
