PID,Name,Title,PublicationType,ContentType,Language,Journal,JournalISSN,JournalEISSN,Status,Volume,Issue,HostPublication,StartPage,EndPage,Year,Edition,Pages,City,Publisher,Series,SeriesISSN,SeriesEISSN,ISBN,Urls,ISRN,DOI,ISI,PMID,ScopusId,NBN,LocalId,ArchiveNumber,Keywords,Categories,ResearchSubjects,Projects,Notes,Abstract,Opponents,Supervisors,Examiners,Patent,ThesisLevel,Credits,Programme,Subject,Uppsok,DefencePlace,DefenceLanguage,DefenceDate,CreatedDate,PublicationDate,LastUpdated,FullTextLink,Funder,NumberOfAuthors,ExternalCooperation,FridaLevel,PartOfThesis,PublicationSubtype,Conference,Term,ArticleId,Reviewed,FreeFulltext,SustainableDevelopment,Contributor
1507542,"Zackariasson, Maria [shmazn09] [0000-0002-0223-8739] (Södertörns högskola [481], Institutionen för historia och samtidsstudier [11802], Etnologi [11806]) (Södertörns högskola [481], Lärarutbildningen [873601]);Magnusson, Jenny [shjymn08] [0000-0002-0280-9095] (Södertörns högskola [481], Institutionen för kultur och lärande [11809], Svenska [11820]) (Södertörns högskola [481], Lärarutbildningen [873601])",Academic literacies and international mobility. The organization and supervision of degree projects in Sweden and Russia,Artikel,Refereegranskat,eng,Cogent Education,NA,2331-186X,published,7,1,NA,NA,NA,2020,NA,NA,NA,Taylor & Francis,NA,NA,NA,NA,NA,NA,10.1080/2331186X.2020.1855770,000596856200001,NA,2-s2.0-85097385613,urn:nbn:se:sh:diva-42487,2015/3.1.1/1423,NA,international student mobility;higher education;academic literacies;academic writing;degree projects;teacher education;journalism education;Sweden;Russia,Etnologi (60503);Utbildningsvetenskap (503);Språk och litteratur (602),Baltic and East European studies,NA,NA,"<p>In this article we will discuss how circumstances and requirements on a micro-level may be of relevance for the conditions for international student mobility within higher education. This will be done through examining similarities and differences in the organization of degree project courses at universities in Russia and Sweden, and how supervisors and course representatives described their experiences of working with them. International mobility is often described as having the potential of improving quality within higher education institutions and benefiting individuals through offering new experiences and perspectives. But the changing of academic contexts, which international mobility involves, demands a great deal of adjustment from the individual student and can be a complicated process.</p><p>Through examining similarities and differences in comparable courses at universities in two countries, this article aims to say something about what characterizes different local academic contexts and thus the differences in expectations students may encounter when going between them, here in particular concerning academic writing and the relationship to the supervisor. The article is based on empirical material from a qualitative research project on journalism education and teacher education in Sweden and Russia, and the discussion will be related to the concept academic literacies.</p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-12-08,2020-12-08,2020-12-28,https://sh.diva-portal.org/smash/get/diva2:1507542/FULLTEXT02.pdf,Östersjöstiftelsen [73/2015],2,NA,deprecated,NA,NA,NA,NA,1855770,TRUE,TRUE,NA,NA
1685823,"Johansson, Viktor [shvrjn17] [0000-0003-0298-3832] (Södertörns högskola [481], Lärarutbildningen [873601], Pedagogik [886701])","American Philosophy in Translation, Saito, Naoko Rowan &amp; Littlefield International, 2019, Pp. 180.",Artikel,Övrigt vetenskapligt,eng,Educational Theory,0013-2004,1741-5446,published,72,2,NA,243,252,2022,NA,NA,NA,John Wiley & Sons,NA,NA,NA,NA,NA,NA,10.1111/edth.12525,000828156800007,NA,NA,urn:nbn:se:sh:diva-49668,NA,NA,NA,Filosofi (60301);Pedagogik (50301),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-08-05,2022-08-05,2022-08-05,NA,NA,1,NA,deprecated,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
1781396,"Karlsson, Natalia [shknna09] [0000-0003-0417-2574] (Södertörns högskola [481], Lärarutbildningen [873601], Matematikämnets didaktik [886704]);Kilborn, Wiggo (University of Gothenburg, Sweden)",Arithmetic and algebraic knowledge in student learning of concepts,Publicerade konferenspaper,Refereegranskat,eng,NA,NA,NA,NA,1,NA,Education and New Development 2023 : Volume 1,3,7,2023,NA,NA,"Lisboa, Portugal",inSciencePress,Education and New Developments 2023,2184-044X,2184-1489,978-989-35106-3-6,https://end-educationconference.org/wp-content/uploads/2023/06/Education-and-New-Developments_2023_Vol_I.pdf,NA,NA,NA,NA,NA,urn:nbn:se:sh:diva-51945,NA,NA,Rational numbers and algebra;conceptual knowledge;students’ arithmetic and algebraic knowledge,Matematik (101);Didaktik (50302);Utbildningsvetenskap (503),Studies in the Educational Sciences,NA,NA,"<p>Current research deals with students’ arithmetical and algebraical knowledge, with focus on a conceptual connection, and the relationship between two aspects of knowledge. The content in question is rational numbers, rational equations and problem-solving about proportion and ratio in grades 7, 8 and 9. The method contains three tests given to 400 students in grades 7–9. Tools for analysis were theories of generalizing arithmetic into algebra (Kieran, 2004) and the relationship between arithmetic and algebra in a conceptual context (Kaput, 2008). </p><p>Current research shows that students’ knowledge of algebra and arithmetic often has a limited conceptual connection and a weak relationship. Their knowledge of arithmetic operations and solving rational equations use to be just procedural and rely on formulas learnt in a procedural way and often mixed up. The study also shows that students’ procedural strategies in finding formulas suitable for solving the equations, as well as carrying out the corresponding calculations, were often insufficient.  </p><p>The study pays attention to shortcomings in students' conceptualization of arithmetic operations with rational numbers and how to apply them solving rational equations. One reason for this is lack of continuity in instruction and learning.  </p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-07-08,2023-07-08,2023-12-05,NA,Södertörns högskola,2,NA,deprecated,NA,publishedPaper,"International Conference on Education and New Developments Lisbon, Portugal, June 24-26, 2023.",NA,NA,TRUE,TRUE,NA,NA
1664246,"Ferm Almqvist, Cecilia [shcaft17] [0000-0002-9266-786X] (Södertörns högskola [481], Lärarutbildningen [873601], Pedagogik [886701]);Thorgersen, Ketil Thor [0000-0002-4767-7663] (Stockholms musikpedagogiska institut, Sverige; Stockholms universitet, Sverige)",Att möjliggöra estetiska erfarenheter i lärarutbildning,Kapitel,Refereegranskat,swe,NA,NA,NA,NA,NA,NA,I rörelse : Estetiska erfarenheter i pedagogiska sammanhang,35,58,2022,NA,NA,Huddinge,Södertörns högskola,Södertörn Academic Studies ; 90;Södertörn Studies in Higher Education ; 10,1650-433X,1650-433X,978-91-89504-07-3;978-91-89504-08-0,http://urn.kb.se/resolve?urn=urn:nbn:se:sh:diva-48696,NA,NA,NA,NA,NA,urn:nbn:se:sh:diva-49130,NA,NA,NA,Utbildningsvetenskap (503),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-06-03,2022-06-03,2022-06-03,https://sh.diva-portal.org/smash/get/diva2:1664246/FULLTEXT01.pdf,NA,2,NA,deprecated,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA
1358632,"Zackariasson, Maria [shmazn09] [0000-0002-0223-8739] (Södertörns högskola [481], Institutionen för historia och samtidsstudier [11802], Etnologi [11806]) (Södertörns högskola [481], Lärarutbildningen [873601])",Balansen mellan att uppmuntra och ställa krav. En reflektion över studenters uppsatsskrivande i relation till stress och stöttning,Artikel,Refereegranskat,swe,Högre Utbildning,NA,2000-7558,published,9,2,NA,15,24,2019,NA,NA,NA,Cappelen Damm Akademisk,NA,NA,NA,NA,NA,NA,10.23865/hu.v9.1662,NA,NA,NA,urn:nbn:se:sh:diva-39130,NA,NA,självständiga arbeten;uppsatsskrivande;scaffolding;stöttning;stress;lärarutbildning,Etnologi (60503);Utbildningsvetenskap (503),Studies in the Educational Sciences,NA,NA,"<p>När studenter ska skriva sin första stora uppsats, det vill säga det som i högskoleförordningen betecknas ”självständigt arbete”, möter de delvis andra krav och förväntningar än de stött på tidigare under sin utbildning. Det kan gälla till exempel hur självständiga de förväntas vara, men också att de ska skriva en text som inte bara visar vad de själva har lärt sig utan som också andra kan lära sig av. För några är detta en spännande utmaning, som de ser fram emot, men för andra kan uppgiften framstå som skrämmande och stressande. Hur ska man som kursansvarig kunna entusiasmera och motivera studenter för uppgiften att skriva sitt självständiga arbete, när man samtidigt vill få dem att inse att uppsatsarbetet kan vara både svårt och utmanande och att de måste arbeta hårt för att klara av det?</p><p>I denna artikel använder jag scaffolding som teoretisk utgångspunkt för att reflektera över detta, i ett resonemang runt vad stress och stöttning kan innebära i detta sammanhang och hur relationen dem emellan kan se ut. Jag utgår från mina erfarenheter som kursansvarig på en självständigt arbete-kurs på ett av lärarutbildningens program.</p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-10-08,2019-10-08,2022-09-15,https://sh.diva-portal.org/smash/get/diva2:1358632/FULLTEXT01.pdf,Östersjöstiftelsen [73/2015],1,NA,deprecated,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA
1696913,"Ferm Almqvist, Cecilia [shcaft17] [0000-0002-9266-786X] (Södertörns högskola [481], Lärarutbildningen [873601], Pedagogik [886701]) (Education);Hentschel, Linn (Umeå Universitet, Sweden)",Becoming musical performance artists : Challenging organisational norms and traditional Municipal Arts School structures,Artikel,Refereegranskat,eng,Journal for research in arts and sports education,NA,2535-2857,published,6,3,NA,11,26,2022,NA,NA,Oslo,Cappelen Damm Akademisk,NA,NA,NA,NA,NA,NA,10.23865/jased.v6.3586,NA,NA,NA,urn:nbn:se:sh:diva-49928,NA,NA,musical comedy; municipal arts school; entanglements; actors; becoming,Musik (60402);Lärande (50303),Studies in the Educational Sciences,Kulturverket/Umeå kommun,NA,"<p>Music educational researchers in the Nordic countries have pointed out how municipal arts schools are organised based on, and tend to reproduce, anthropocentric values and approaches, and that such unequal norms and structures are to be challenged. Taking a border-crossing musical comedy project as a starting point, the specific aim of the current study is to illuminate how, and on what levels, organisational norms and traditional structures can be challenged, and what possibilities and new challenges that occur in a project taking place beyond the Anthropocene. To be able to grasp the aspects of becoming within the project and how that is related to aspects of organisation, we created a research entanglement based on post-human theory. Hence, situations seen as webs of relations were created, including the actors: humans with intellectual disabilities, musical performance students, educators, artists, researchers, and varied digital communication tools. Observations, video recordings, collaborative writing, qualitative surveys, and interviews produced material for analysis. Actor-network theory was applied aiming to describe how the constantly performed intra-active networks were constituted, as well as how the actors influenced each other. The results identify significant actors and trajectories in Sammankonst, that in turn challenge anthropocentric organisational structures of municipal arts schools.</p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-09-19,2022-09-19,2023-09-22,NA,NA,2,NA,deprecated,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA
1656738,"Lecusay, Robert [role20] [0000-0003-3353-6170] (Södertörns högskola [481], Lärarutbildningen [873601], Pedagogik [886701]);Rainio, Anna Pauliina [0000-0002-3964-6648] (University of Helsinki, Finland);Ferholt, Beth (Brooklyn College, Brooklyn, USA)",Caring about and with Imaginary Characters : Early Childhood Playworlds as Sites for Social Sustainability,Artikel,Refereegranskat,eng,Sustainability,NA,2071-1050,published,14,9,NA,5533,5533,2022,NA,NA,NA,MDPI,NA,NA,NA,NA,NA,NA,10.3390/su14095533,000795404800001,NA,2-s2.0-85130011455,urn:nbn:se:sh:diva-48996,NA,NA,early childhood education and care; play; social sustainability; care; playworlds; cultural historical activity theory; participatory design research; inclusion; imagination,Utbildningsvetenskap (503),NA,NA,NA,"<p>We investigate the concept of care in adult-child joint play through two cases that illustrate ways in which the development of care relations among researchers, pedagogues, and children—and the imaginary characters they create through their joint play—shape and sustain early childhood education and care research and practice. We focus on the ways that early childhood education and care pedagogues’ approaches to care provide insights into practices of social sustainability, specifically social inclusion. The cases we present are drawn from recent studies of early childhood play. The studies belong to a corpus of international research projects that are researcher-teacher collaborations. These studies explore a unique form of adult-child joint imaginary play known as playworlds. Playworlds are based on cultural historical theories of development and art, Gunilla Lindqvist’s studies of playworlds, and local theory and practice of early childhood education and care. Our analyses of playworlds are based, in part, on Winnicott’s concept of transitional objects. The two cases are drawn from ECEC playworlds in Finland and the US. Each exemplifies how playworlds, as forms of participatory design research, make social sustainability possible. Furthermore, these cases highlight how, by working with the boundaries between and moving between real and imagined, the participants are able to develop new ways of being that are radically inclusive. We argue that they do so by facilitating and maintaining the development of care relations among researchers, teachers, children, and, importantly, imaginary characters, in ways that create what we call transitional subjects. We conclude that social sustainability, like care, should be conceived of as an ecology of caring practices.</p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-05-06,2022-05-06,2022-06-01,NA,NA,3,NA,deprecated,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA
1702265,"Selling, Jan [shjnsg16] [0000-0001-7386-3462] (Södertörns högskola [481], Lärarutbildningen [873601], Kritiska romska studier [886702])","Considering the SwedishCommission againstAntiziganism 2014-2016 : experiences, lessonslearned and recommendations (D.2.2. CHACHIPEN National Research Report on Sweden)",Rapport,Övrigt vetenskapligt,eng,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022,NA,44,NA,NA,NA,NA,NA,NA,http://antigypsyism.eu/wp-content/uploads/2022/08/CHACHIPEN_-D2_2_CHACHIPEN-National-Research-Report-on-Sweden_final_formated_MODIF.pdf,NA,NA,NA,NA,NA,urn:nbn:se:sh:diva-50028,NA,NA,Roma;critical Romani Studies;antigypsyism;anti-Roma racism;inclusion strategies;critical Romani Studies,Annan samhällsvetenskap (509),Baltic and East European studies,CHACHIPEN project,"<p>This project is funded by the European Union’s Rights, Equality and Citizenship Programme (2014-2020).</p>","<p>At the European level, the Swedish example has frequently been cited in discussions around truth and reconciliation processes (TRPs) concerning Roma and policies against antigypsyism. Based on desk research and interviews with key Romani and non-Romani actors, this report puts the Swedish Commission against Antiziganism (the Commission) into context and analyses its impacts and limitations. Its background was the major state inquiry, Roma Rights (SOU, 2010, No 55), which urged a combination of measures to achieve equality for the national minority of Roma:</p><ul><li>a truth commission on historical abuses against Roma in Sweden, aiming for proposals for historical justice such as collective material compensation, and immaterial redress such as the state declaring historical responsibility;</li><li>comprehensive measures against all forms of antigypsyism;</li><li>implementation of a 20-year strategy for Roma inclusion;</li><li>establishment of a permanent secretariat for Roma issues, to give Roma actual monitoring power and influence over the inclusion policy.</li></ul>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-10-10,2022-10-10,2022-10-10,NA,Europeiska kommissionen,1,NA,deprecated,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA
1596787,"Ferm Almqvist, Cecilia [shcaft17] [0000-0002-9266-786X] (Södertörns högskola [481], Lärarutbildningen [873601], Pedagogik [886701])",Contemporary dance as being and becoming in the age of aging : Existential aspects of (arts) learning among older amateur dancers,Artikel,Refereegranskat,eng,European Journal for Research on the Education and Learning of Adults,2000-7426,2000-7426,published,3,1,NA,97,112,2022,NA,NA,Linköping,Linköping University Electronic Press,NA,NA,NA,NA,NA,NA,10.3384/rela.2000-7426.2257,NA,NA,2-s2.0-85129699549,urn:nbn:se:sh:diva-46477,NA,NA,Adult dance education;ageing;choreography;community dance;self conception,Scenkonst (60404);Lärande (50303),Studies in the Educational Sciences,NA,NA,"<p>Taking experiences from a contemporary multi-arts dance project as a starting point, this article explores how such a project can offer opportunities for being and becoming among older amateur dancers. The article takes a phenomenological approach, in which holistic experience and sharing of experiences are central. The phenomenon of the investigation is self-conceptualisation. The artistic process and context constitute an adult educational situation. To come close to the lived experiences of the dancers, the rehearsals and performance were observed and documented. Six of the participants were also interviewed. The material was analysed in a hermeneutical phenomenological manner, and Simone de Beauvoir’s thinking regarding ageing was used as a theoretical lens. The results show how the self-images of the participants change during the course of the project. The dance activities seem to give the older participants opportunities to remain themselves, even as they allow themselves to change. They learn to know themselves, each other, and the world.</p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-09-23,2021-09-23,2023-01-04,https://sh.diva-portal.org/smash/get/diva2:1596787/FULLTEXT01.pdf,NA,1,NA,deprecated,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA
1637550,"Moerman, Paul [shplmn07] [0000-0001-6507-3399] (Södertörns högskola [481], Lärarutbildningen [873601], Lärarutbildning och Estetiska lärprocesser [886703]) (University of Jyväskylä, Finland)",Dancing with the Other : Esthetic Experience and Ethical Responsiveness in an Education for the Self Becoming,Kapitel,Övrigt vetenskapligt,eng,NA,NA,NA,NA,NA,NA,Academia from the Inside : Pedagogies for Self and Other,195,214,2021,NA,NA,Cham,Palgrave Macmillan,NA,NA,NA,978-3-030-83894-2;978-3-030-83895-9,NA,NA,10.1007/978-3-030-83895-9_9,NA,NA,NA,urn:nbn:se:sh:diva-48398,NA,NA,NA,Utbildningsvetenskap (503);Scenkonst (60404),NA,NA,NA,"<p>In this chapter, I advocate the opening of spaces in education and academia for dance. Viewing dance and education as ways to enter into dialogue with the world, I explore the potentiality of dance in education as a mode of (kin)esthetic experiencing and a modality to ethically respond to otherness. My lines of thinking shift focus from the self to being with others, from predefined knowledge to the unpredictable, from education concerned with fulfilling universal ideas of humanism to education as a space for the unique human subject becoming, for plurality and coexistence in a challenged world calling upon us to act together. A study is reviewed of my teaching and learning program Dancing with the Other, probing the theoretical framework in hands-on dance on the floor.</p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-02-14,2022-02-14,2022-04-08,NA,NA,1,NA,deprecated,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
