PID,Name,Title,PublicationType,ContentType,Language,Journal,JournalISSN,JournalEISSN,Status,Volume,Issue,HostPublication,StartPage,EndPage,Year,Edition,Pages,City,Publisher,Series,SeriesISSN,SeriesEISSN,ISBN,Urls,ISRN,DOI,ISI,PMID,ScopusId,NBN,LocalId,ArchiveNumber,Keywords,Categories,ResearchSubjects,Projects,Notes,Abstract,Opponents,Supervisors,Examiners,Patent,ThesisLevel,Credits,Programme,Subject,Uppsok,DefencePlace,DefenceLanguage,DefenceDate,CreatedDate,PublicationDate,LastUpdated,FullTextLink,Funder,NumberOfAuthors,ExternalCooperation,FridaLevel,PartOfThesis,PublicationSubtype,Conference,Term,ArticleId,Reviewed,FreeFulltext,SustainableDevelopment,Contributor
1384592,"Capelli, L (University of Genoa, Genoa, Italy);De Nigra, E (University of Genoa, Genoa, Italy);Mattsson, Jan-Eric [sh99jcmn] (Södertörns högskola [481], Institutionen för naturvetenskap, miljö och teknik [11831]);Mutvei, Ann [shanmz] (Södertörns högskola [481], Institutionen för naturvetenskap, miljö och teknik [11831], Matematikens didaktik [15800]);Siri, Anna",A comparison of the STEM curricula in “Do Well Science” partner countries,Kapitel,Övrigt vetenskapligt,eng,NA,NA,NA,NA,NA,NA,Do Well Science : Manual for Innovative Pedagoy in STEM Contents : An Erasmus+ Project to increase secondary students’ achievements in Science subjects,50,65,2019,NA,NA,Breslavia,Società Dante Alighieri,NA,NA,NA,978-83-945213-0-1,https://www.dowellscience.eu/project//download/Templates%20and%20tools/Manuals/Manual_English_Version.pdf;https://www.dowellscience.eu/project/download/Templates%20and%20tools/Manuals/Manual%20Swedish%20version.pdf,NA,NA,NA,NA,NA,urn:nbn:se:sh:diva-39779,NA,NA,NA,Utbildningsvetenskap (503),Studies in the Educational Sciences,Do Well Science (Erasmus+ Project Number: 2017-1-IT02-KA201-036780),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-01-10,2020-01-10,2020-01-10,NA,"EU, Europeiska forskningsrådet [2017-1-IT02-KA201-036780]",5,NA,deprecated,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA
1370579,"Warnock, Jonathan (Indiana University of Pennsylvania, Indiana, United States);Andrén, Elinor [sheran04] [0000-0002-6763-1697] (Södertörns högskola [481], Institutionen för naturvetenskap, miljö och teknik [11831], Miljövetenskap [11837]);Juggins, Steve (Newcastle University, Newcastle upon Tyne, United Kingdom);Lewis, Jonathan (Loughborough University, Loughborough, United Kingdom);Ryves, David B. (Loughborough University, Loughborough, United Kingdom);Andrén, Thomas [shtsan06] [0000-0001-5615-6088] (Södertörns högskola [481], Institutionen för naturvetenskap, miljö och teknik [11831], Miljövetenskap [11837]);Weckström, Kaarina (University of Helsinki, Helsinki, Finland)","A high‐resolution diatom‐based Middle and Late Holocene environmental history of the Little Belt region, Baltic Sea",Artikel,Refereegranskat,eng,Boreas,0300-9483,1502-3885,published,NA,1,NA,1,16,2020,NA,NA,NA,John Wiley & Sons,NA,NA,NA,NA,http://hdl.handle.net/10138/326978,NA,10.1111/bor.12419,000505508500001,NA,2-s2.0-85074585844,urn:nbn:se:sh:diva-39395,NA,NA,NA,Miljövetenskap (10502),Baltic and East European studies,NA,NA,"<p>The large‐scale shifts in the salinity of the Baltic Sea over the Holocene are well understood and have been comprehensively documented using sedimentary proxy records. More recent work has focused on understanding how past salinity fluctuations have affected other ecological parameters (e.g. primary productivity, nutrient content) of the Baltic basin, and salinity changes over key events and over short time scales are still not well understood. The International Ocean Drilling Program Expedition 347 cored the Baltic basin in order to collect basin‐wide environmental records through a glacial–interglacial cycle. Site M0059 is located in the Little Belt between the Baltic Sea and the Atlantic Ocean. A composite splice section from Site M0059 was analysed at a decadal resolution to study changes in salinity, nutrient conditions and other surface water column parameters based on changes in diatom assemblages and on quantitative diatom‐based salinity inferences. A mesotrophic slightly brackish assemblage is seen in the lowermost analysed depths, corresponding to 7800–7500 cal. a BP. An increase in salinity and nutrient content of the water column leads into a meso‐eutrophic brackish phase. The observed salinity increase is rapid, lasting from 7500 to 7150 cal. a BP. Subsequently, the Little Belt becomes oligotrophic and is dominated by tychopelagic diatoms from <em>c</em>. 7100 to <em>c</em>. 3900 cal. a BP. This interval contains some of the highest salinities observed followed by diatom assemblages similar to those of the Northern Atlantic Ocean, composed primarily of cosmopolitan open ocean marine diatoms. A return to tychopelagic productivity is seen from 3850 to 980 cal. a BP. Anthropogenic eutrophication is detected in the last 300 years of the record, which intensifies in the uppermost sediments. These results represent the first decadally resolved record in the region and provide new insight into the transition to a brackish basin and subsequent ecological development.</p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-11-15,2019-11-15,2022-05-03,NA,Östersjöstiftelsen [75/2014],7,NA,deprecated,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA
1523890,"Dahl, Martin (Stockholms universitet, Sweden);Bergman, Sanne (Stockholms universitet, Sweden);Björk, Mats (Stockholms universitet, Sweden);Diaz-Almela, Elena (Centro de Estudios Avanzados de Blanes, Spanien);Granberg, Maria (IVL Svenska Miljöinstitutet, Sweden);Gullström, Martin [magx20] [0000-0002-7552-2431] (Södertörns högskola [481], Institutionen för naturvetenskap, miljö och teknik [11831], Miljövetenskap [11837]);Leiva-Dueñas, Carmen (Centro de Estudios Avanzados de Blanes, Spanien);Magnusson, Kerstin (IVL Svenska Miljöinstitutet, Sweden);Marco-Méndez, Candela (Centro de Estudios Avanzados de Blanes, Spanien);Piñeiro-Juncal, Nerea (Centro de Estudios Avanzados de Blanes, Spanien; Universidade de 5 Santiago de Compostela, Spanien);Mateo, Miguel Ángel (Centro de Estudios Avanzados de Blanes, Spanien; Edith Cowan University, Australien)",A temporal record of microplastic pollution in Mediterranean seagrass soils,Artikel,Refereegranskat,eng,Environmental Pollution,0269-7491,1873-6424,published,273,NA,NA,NA,NA,2021,NA,NA,NA,Elsevier,NA,NA,NA,NA,NA,NA,10.1016/j.envpol.2021.116451,000625376600040,33486243,2-s2.0-85099614174,urn:nbn:se:sh:diva-43851,NA,NA,Anthropogenic pressures;Microplastics;Paleoarchives;Plastic pollution;Seagrass soils,Miljövetenskap (10502),NA,NA,NA,"<p>Plastic pollution is emerging as a potential threat to the marine environment. In the current study, we selected seagrass meadows, known to efficiently trap organic and inorganic particles, to investigate the concentrations and dynamics of microplastics in their soil. We assessed microplastic contamination and accumulation in <sup>210</sup>Pb dated soil cores collected in Posidonia oceanica meadows at three locations along the Spanish Mediterranean coast, with two sites located in the Almería region (Agua Amarga and Roquetas) and one at Cabrera Island (Santa Maria). Almería is known for its intense agricultural industry with 30 000 ha of plastic-covered greenhouses, while the Cabrera Island is situated far from urban areas. Microplastics were extracted using enzymatic digestion and density separation. The particles were characterized by visual identification and with Fourier-transformed infrared (FTIR) spectroscopy, and related to soil age-depth chronologies. Our findings showed that the microplastic contamination and accumulation was negligible until the mid-1970s, after which plastic particles increased dramatically, with the highest concentrations of microplastic particles (MPP) found in the recent (since 2012) surface soil of Agua Amarga (3819 MPP kg<sup>-1</sup>), followed by the top-most layers of the soil of the meadows in Roquetas (2173 kg<sup>-1</sup>) and Santa Maria (68-362 kg<sup>-1</sup>). The highest accumulation rate was seen in the Roquetas site (8832 MPP m<sup>-2</sup> yr<sup>-1</sup>). The increase in microplastics in the seagrass soil was associated to land-use change following the intensification of the agricultural industry in the area, with a clear relationship between the development of the greenhouse industry in Almería and the concentration of microplastics in the historical soil record. This study shows a direct linkage between intense anthropogenic activity, an extensive use of plastics and high plastic contamination in coastal marine ecosystems such as seagrass meadows. We highlight the need of proper waste management to protect the coastal environment from continuous pollution.</p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-01-29,2021-01-29,2021-11-15,NA,Helge Ax:son Johnsons stiftelse,11,NA,deprecated,NA,NA,NA,NA,116451,TRUE,TRUE,NA,NA
1807971,"Hansson, Karin [kaha21] [0000-0002-5962-1536] (Södertörns högskola [481], Institutionen för naturvetenskap, miljö och teknik [11831], Medieteknik [11835]);Bardzell, Shaowen (Georgia Institute of Technology, USA);Bhandari, Aparajita (Cornell University, USA);Boulicault, Marion (University of Edinburgh, UK);Doyle, Dylan Thomas (University of Colorado Boulder, USA);Erete, Sheena (University of Maryland, USA);Cerratto Pargman, Teresa (Stockholm University, Sweden);Lazem, Shaimaa (City for Scientific Research and Technological applications, Egypt);Muller, Michael (IBM Research, USA);Normark, Maria [shmank05] (Uppsala University, Sweden);Petterson, Adrian (University of Toronto, Canada);Poikolainen Rosén, Anton [shanpn17] [0000-0001-8588-8480] (Aalto University, Finland);Taylor, Alex S. (City, University of London, UK);Thomas, Jakita O. (Auburn University, USA);Watson, Julia (University of Toronto, Canada)",A Toolbox of Feminist Wonder : Theories and Methods That Can Make a Difference,Publicerade konferenspaper,Refereegranskat,eng,NA,NA,NA,NA,NA,NA,CSCW ’23 Companion : Companion Publication of the 2023 Conference on Computer Supported Cooperative Work and Social Computing,476,480,2023,NA,NA,New York,Association for Computing Machinery (ACM),NA,NA,NA,979-8-4007-0129-0,NA,NA,10.1145/3584931.3611295,NA,NA,2-s2.0-85176250268,urn:nbn:se:sh:diva-52584,NA,NA,Care;Feminist HCI;Intersectionality;Decolonization;Feminist wonder,Människa-datorinteraktion (interaktionsdesign) (10204);Genusstudier (50902),NA,NA,NA,"<p>This one-day hybrid workshop builds on previous feminist CSCW workshops to explore feminist theoretical and methodological approaches that have provided us with useful tools to see things differently and make space for change. Since its inception over a decade ago, feminist HCI has progressed from the margins to mainstream HCI, with numerous references in the literature. Feminist HCI has also evolved to incorporate other critical HCI practices such as Queer HCI, participatory design, and speculative design. While feminist approaches have grown in popularity and become mainstream, it is getting more difficult to distinguish the feminist emancipatory core from other attempts of developing and improving society in various ways. In this workshop, we therefore want to revisit our feminist roots, where theory is a liberatory and creative practice, motivated by affect, curiosity, and wonder. From this standpoint, we consider which of our feminist tools can make a significant difference today, in a highly datafied world. The goal of this workshop is to; 1) create an inventory of feminist theories and concepts that have had an impact on our work as designers, educators, researchers, and activists; 2) develop a feminist toolbox for the CSCW community to strengthen our feminist literacy.</p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-10-30,2023-10-30,2023-11-22,NA,NA,15,NA,deprecated,NA,publishedPaper,"CSCW ’23, Minneapolis, October 14-18, 2023.",NA,NA,TRUE,NA,NA,NA
1366579,"Remling, Elise [sheerg14] (Södertörns högskola [481], Institutionen för naturvetenskap, miljö och teknik [11831], Miljövetenskap [11837]) (Södertörns högskola [481], Centrum för Östersjö- och Östeuropaforskning (CBEES) [496], Baltic & East European Graduate School (BEEGS) [483])","Adaptation, now? : Exploring the Politics of Climate Adaptation through Poststructuralist Discourse Theory",Doktorsavhandlingar,Övrigt vetenskapligt,eng,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,NA,189,Huddinge,Södertörns högskola,Södertörn Doctoral Dissertations ; 168,1652-7399,1652-7399,978-91-88663-78-8;978-91-88663-79-5,NA,NA,NA,NA,NA,NA,urn:nbn:se:sh:diva-39234,NA,NA,Climate change adaptation; Adaptation policy development; Politics of adaptation; Discourse; Poststructuralist Discourse Theory; Logics of Critical Explanation; Discourse Analysis; European Union; Germany; Qualitative policy analysis; Critical policy studies; Fantasy; Depoliticisation,Miljövetenskap (10502);Kulturgeografi (50701);Tvärvetenskapliga studier inom samhällsvetenskap (50901);Statsvetenskap (exklusive studier av offentlig förvaltning och globaliseringsstudier) (50601),Environmental Studies;Baltic and East European studies,NA,NA,"<p>Increasing evidence of anthropogenic climate change and the recognition that warming is likely to go beyond 2°C raises the need for responses that help people cope with the anticipated changes. The rise of attention to so-called climate adaptation on political agendas at the local, national and international scale has come about with a hastily growing field of academic knowledge production. But while adaptation choices are inherently political, adaptation has been largely considered a ‘problem free’ process and ‘tame’ challenge; only a relatively small strand of scholarly work engages in critical enquiry into the idea of adaptation, the discursive practices through which it is imagined, and related questions of power and politics.</p><p>Responding to calls for more attention to the socio-political dimensions of adaptation and for conceptually embedded research, this thesis investigates the creation, interpretation and use of adaptation as a concept in research, policy and practice. Drawing on Poststructuralist Discourse Theory and the so-called Logics of Critical Explanation in particular, it develops a perspective through which the politics of adaptation can be investigated in a theoretically and methodologically consistent and transparent manner. Through a close analysis of official adaptation discourses at the international level, the EU level, and the national level in Germany, the thesis enquires into the discursive practices around adaptation responses and what these different discourses open up or limit in terms of broader implications for political action.</p><p>The contributions of the thesis are empirical, methodological and conceptual. In addition to providing critical insights into contemporary understandings of adaptation, including revealing some depoliticising ‘building blocks’ in conventional adaptation discourses, the thesis makes two important conceptual contributions to the growing field of critical adaptation studies: (1) It suggests that the increasing interconnectedness between people and places makes it impossible to know whether adaptation efforts undertaken have in reality reduced net vulnerability or simply shuffled vulnerability across the board. Ignoring the potential for such redistributive effects can have significant consequences in practice and will likely lead to unsustainable and, in the long run, maladaptive outcomes. (2) It argues that non-rational and affective dimensions are vital to the emergence of adaptation responses and that paying attention to them is important if critical scholarship is to understand and intervene in the persistence of techno-managerial approaches to adaptation. Furthermore, to the field of critical policy studies this thesis makes a methodological contribution by developing a new analytical framework for poststructuralist policy analysis.</p>;<p>Vi ser allt starkare bevis på att de antropogena klimatförändringarna, trots internationella ansträngningar att begränsa utsläppen av växthusgaser, troligen kommer att överstiga tvågradersmålet. Detta kommer att leda till omfattande förändringar av vår livsmiljö, vilket i sin tur kommer att kräva betydande åtgärder för anpassning. Intresset för klimatanpassning har ökat på lokala, nationella och internationella politiska dagordningar, samtidigt som forskningen på området har intensifierats. Men trots att besluten om implementering av specifika åtgärder i grunden är politiska, har klimatanpassningen ofta betraktats som en ”problemfri” process, eller en ”tam” utmaning. Hittills har endast en relativt liten del av forskningen analyserat den pågående debatten om anpassningen, samt hur de dominerande diskurserna och de föreslagna lösningarna är sammanlänkade med frågor om makt och politik.</p><p>Den här avhandlingen sätter de socio-politiska dimensionerna av klimatanpassningen i fokus och undersöker empiriskt och teoretiskt hur själva fenomenet ”klimatanpassning” uppstår, tolkas och används som ett begrepp inom forskning, politik och praktik. Med avstamp i poststrukturalistisk diskursteori – och i synnerhet det så kallade logikperspektivet (även kallat Logics of Critical Explanation, eller the logics approach)– vidareutvecklas här ett analytiskt ramverk som syftar till att undersöka anpassningspolitiken på ett konsekvent och transparent sätt. Med utgångspunkt i empiriska analyser av officiella anpassningsdiskurser på internationell nivå, europeisk nivå (EU) och nationell nivå i Tyskland undersöks hur olika diskursiva logiker möjliggör eller begränsar förutsättningarna för politiskt handlande.</p><p>Avhandlingens bidrag är alltså såväl empiriska som begreppsliga och metodologiska. Empiriskt bidrar den med kritiska insikter och visar hur de vanligast förekommande samtida anpassningsdiskurserna innehåller viktiga avpolitiserande aspekter (till exempel genom att inkorporeras i en nyliberal marknadsdiskurs). Dess viktigaste teoretiska bidrag till det växande fältet av kritiska anpassningsstudier är för det första en diskussion om hur den ökande sammankopplingen mellan människor och platser gör det omöjligt att veta om arbetet för anpassning på specifika platser verkligen minskar den totala sårbarheten eller om det bara förflyttar sårbarheten någon annanstans. Att bortse från sådana omfördelningseffekter kan få betydande konsekvenser och kommer troligen att leda till ohållbara strategier – och därmed i längden till missanpassning snarare än anpassning. För det andra visar avhandlingen att icke-rationella och affektiva (känsloladdade) dimensioner är centrala i anpassningspolitiken och att det är viktigt att vara uppmärksam på dem för att förstå och förändra de nuvarande teknik- och managementorienterade anpassningsstrategierna. Avhandlingen bidrar även med metodologiska insikter till forskningsfältet ”kritiska policystudier” genom att utveckla ett nytt analytiskt ramverk för poststrukturalistisk policyanalys.</p>","Juhola, Sirkku, Professor at Ecosystems and Environment Research Programme","Gunnarsson Payne, Jenny, Professor (Södertörns högskola [481], Institutionen för historia och samtidsstudier [11802], ;;;Etnologi [11806])Persson, Åsa, PhD",NA,NA,NA,NA,NA,NA,NA,"MA 624, Alfred Nobels allé 7, Huddinge",eng,2019-11-25T13:00:00Z,2019-10-29,2019-11-01,2020-12-18,https://sh.diva-portal.org/smash/get/diva2:1366579/FULLTEXT01.pdf,Östersjöstiftelsen,1,NA,deprecated,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
1283202,"Saunders, Fred P. [shfdss03] [0000-0003-2166-5717] (Södertörns högskola [481], Institutionen för naturvetenskap, miljö och teknik [11831], Miljövetenskap [11837]);Gilek, Michael [shmlgk] [0000-0001-8536-373X] (Södertörns högskola [481], Institutionen för naturvetenskap, miljö och teknik [11831], Miljövetenskap [11837]);Tafon, Ralph [shrhtn15] [0000-0003-2264-6892] (Södertörns högskola [481], Institutionen för naturvetenskap, miljö och teknik [11831], Miljövetenskap [11837])",Adding People to the Sea : Conceptualizing Social Sustainability in Maritime Spatial Planning,Kapitel,Refereegranskat,eng,NA,NA,NA,NA,NA,NA,"Maritime Spatial Planning : past, present, future",175,199,2019,NA,NA,Cham,Palgrave Macmillan,NA,NA,NA,978-3-319-98695-1;978-3-319-98696-8,NA,NA,10.1007/978-3-319-98696-8_8,000487297300009,NA,2-s2.0-85067965071,urn:nbn:se:sh:diva-37455,2186/3.1.1/2014,NA,Development studies,Miljövetenskap (10502),Baltic and East European studies;Environmental Studies,BONUS BALTSPACE project,"<p>This work was the result of (1) the BONUS BALTSPACE project and was supported by BONUS (Art 185), funded jointly by the EU, Swedish Research Council FORMAS and other Baltic Sea national funding institutions and (2) research funding from The Foundation for Baltic and East European Studies.</p>","<p>While there is growing critique emerging to address social sustainability in marine/maritime spatial planning (MSP), overwhelmingly attention has been on governance, economic and environmental aspects. This chapter redresses this by proposing a conceptual framework to elucidate key features of social sustainability in MSP. The ambition is to both note the existing critique of MSP and go beyond it by more clearly and comprehensively articulating how social sustainability could be conceived in MSP, as well as how this framework could be applied to analyse MSP practice. Key features of social sustainability elaborated are: deepening democratic decision-making, inclusion of socio-cultural values and knowledge, equitable distribution and social cohesion. Finally, the chapter concludes by nominating strategies to give greater visibility to social sustainability as a key MSP concern.</p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-28,2019-01-28,2023-06-13,NA,"EU, Europeiska forskningsrådet;Östersjöstiftelsen [27/2014];Forte, Forskningsrådet för hälsa, arbetsliv och välfärd;Vetenskapsrådet;Östersjöstiftelsen [46/2018]",3,NA,deprecated,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA
1452315,"Jokinen, Johanna Carolina;Gallardo Fernández, Gloria L. [shgago17] [0000-0002-7538-004x] (Södertörns högskola [481], Institutionen för naturvetenskap, miljö och teknik [11831], Miljövetenskap [11837]);Makii, Justin",Adjusting the Research Agenda to Local Realities: Experiences from Chile,Kapitel,Övrigt vetenskapligt,eng,NA,NA,NA,NA,NA,NA,Co-creating Actionable Science : Reflections from the Global North and South,71,96,2020,NA,NA,Newcastle upon Tyne,Cambridge Scholars Publishing,NA,NA,NA,978-1-5275-4847-3,NA,NA,NA,NA,NA,NA,urn:nbn:se:sh:diva-41525,NA,NA,Development studies,Miljövetenskap (10502),Environmental Studies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-07-06,2020-07-06,2020-07-06,NA,NA,3,NA,deprecated,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
1203696,"Porseryd, Tove [shtepd12] [0000-0001-7239-7121] (Södertörns högskola [481], Institutionen för naturvetenskap, miljö och teknik [11831], Miljövetenskap [11837]);Larsson, Josefine [shjeln08] [0000-0002-3667-3667] (Södertörns högskola [481], Institutionen för naturvetenskap, miljö och teknik [11831], Miljövetenskap [11837]);Kellner, Martin [shmnkr12] [0000-0002-0856-9707] (Södertörns högskola [481], Institutionen för naturvetenskap, miljö och teknik [11831], Miljövetenskap [11837]);Bollner, Tomas [shtsbr] (Södertörns högskola [481], Institutionen för naturvetenskap, miljö och teknik [11831], Matematikens didaktik [15800]);Dinnétz, Patrik [SHPKDZ07] [0000-0002-7043-9815] (Södertörns högskola [481], Institutionen för naturvetenskap, miljö och teknik [11831], Miljövetenskap [11837]);Porsch Hällström, Inger [shirpm] [0000-0001-9498-3033] (Södertörns högskola [481], Institutionen för naturvetenskap, miljö och teknik [11831], Miljövetenskap [11837])",Altered non-reproductive behavior and feminization caused by developmental exposure to 17α-ethinylestradiol persist to adulthood in three-spined stickleback (<em>Gasterosteus aculeatus)</em>,Artikel,Refereegranskat,eng,Aquatic Toxicology,0166-445X,1879-1514,published,207,NA,NA,142,152,2019,NA,NA,NA,Elsevier,NA,NA,NA,NA,NA,NA,10.1016/j.aquatox.2018.11.024,000457659300016,30572174,2-s2.0-85058462347,urn:nbn:se:sh:diva-34932,1556/42/2011,NA,Endocrine disruption;17α-ethinylestradiol;fish;estrogens;developmental exposure;behavior;intersex,Miljövetenskap (10502),Environmental Studies;Baltic and East European studies,NA,<p>As manuscript in dissertation.</p>,"<p>The synthetic estrogen 17α-ethinylestradiol (EE2), ubiquitous in the aquatic environment and commonly detected in sewage effluents, interferes with the endocrine system in multiple ways. Exposure during sensitive windows of development causes persistent effects on fertility, reproductive and non-reproductive behavior in mammals and fish. In the present study, three-spined stickleback (Gasterosteus aculeatus) were exposed to nominal 0 and 20 ng/L EE2 from fertilization to 7 weeks post-hatch. After 8 months of remediation in clean water three non-reproductive behaviors, not previously analyzed in developmentally EE2-exposed progeny of wild-caught fish, were evaluated. Chemical analysis revealed that the nominal 0 and 20 ng/L exposure contained 5 and 30 ng/L EE2, respectively. Therefore, the use of control fish from previous experiments was necessary for comparisons. Fish exposed during development showed significant concentration-dependent reduction in anxiety-like behavior in the scototaxis (light/dark preference) test by means of shorter latency to first entrance to the white compartment, more visits in white, and longer total time in white compared to unexposed fish. In the novel tank test, developmental exposure significantly increased the number of transitions to the upper half of the aquaria. Exposure to EE2 during development did not alter shoal cohesion in the shoaling test compared with unexposed fish but fish exposed to 30 ng/L EE2 had significantly longer latency to leave the shoal and fewer transitions away from the shoal compared to fish exposed to 5 ng/L EE2. Skewed sex ratio with more females, sex reversal in genetic males as well as intersex in males was observed after exposure to 30, but not 5 ng/L EE2. In conclusion, EE2 exposure during development in three-spined stickleback resulted in persistent effects on anxiety-like behaviors. These long-term effects from developmental exposure are likely to be of higher relevance for natural populations than are short-term effects from adult exposure.</p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-05-04,2018-05-04,2021-01-25,NA,Östersjöstiftelsen [A065-2011],6,NA,deprecated,urn:nbn:se:sh:diva-34913,NA,NA,NA,NA,TRUE,TRUE,NA,NA
1652306,"Waller, Gary (Södertörns högskola [481], Institutionen för naturvetenskap, miljö och teknik [11831], Turismvetenskap [11839]);Abbasian, Saeid [shsdan15] [0000-0002-5108-7252] (Södertörns högskola [481], Institutionen för naturvetenskap, miljö och teknik [11831], Turismvetenskap [11839])",An assessment of crisis management techniques in hotels in London and Stockholm as response to COVID-19's economic impact,Artikel,Refereegranskat,eng,International Journal of Contemporary Hospitality Management,0959-6119,1757-1049,published,34,6,NA,2134,2153,2022,NA,NA,NA,Emerald Group Publishing Limited,NA,NA,NA,NA,NA,NA,10.1108/IJCHM-08-2021-1007,000776187700001,NA,2-s2.0-85127795249,urn:nbn:se:sh:diva-48759,NA,NA,NA,Ekonomi och näringsliv (502),NA,NA,NA,"<p>Purpose The purpose of this study is to gain a deeper understanding on if and how hotel senior managers (HSMs) in four-star chain hotels in London and Stockholm implemented crisis management techniques (CMTs) as a response to the economic impacts of the COVID-19 pandemic in 2020. Design/methodology/approach Qualitative questionnaires were sent to 30 HSMs in London and Stockholm. From the feedback, this paper assesses, using thematic analysis, differences in CMTs used, past and present, alluding to COVID-19's economic impacts on hotels. Findings Results determined that crises broadly economically impacted destinations similarly through loss of travellers and thus revenue. However, with a more intricate and specific assessment, destinations are impacted differently; thus, CMTs must alter. Findings show many CMTs can be implemented to reduce crises' economic impacts. The literature review and empirical results allude to many previous and current CMTs, although these must be relevant and specific to the crisis, hotel and/or destination. Practical implications This paper has theoretical implications for academics on, among other things, theory building. Practically, it supports hotels in developing and determining CMTs to reduce the economic impacts of crises, to be better prepared when another pandemic emerges and contributes to the tourism and hospitality industry's knowledge of management strategy within crises. Originality/value To the best of the authors' knowledge, this is the first Swedish study focusing on post-COVID-19 crisis management in hotels in London and Stockholm.</p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-04-19,2022-04-19,2022-06-01,NA,NA,2,NA,deprecated,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA
1383451,"Svanberg, Ingvar [shirsg05] [0000-0002-8378-7923] (Uppsala universitet);Jäppinen, Armas (Uppsala universitet);Bonow, Madeleine [shmebw06] [0000-0002-6264-7518] (Södertörns högskola [481], Institutionen för naturvetenskap, miljö och teknik [11831], Miljövetenskap [11837])","An endangered regional cuisine in Sweden : the decline in use of European smelt, Osmerus eperlanus (L., 1758), as food stuff",Artikel,Refereegranskat,eng,Journal of Ethnic Foods,2352-6181,2352-619X,published,6,1,NA,NA,NA,2019,NA,NA,NA,Springer,NA,NA,NA,NA,NA,NA,10.1186/s42779-019-0025-3,NA,NA,2-s2.0-85078501880,urn:nbn:se:sh:diva-39723,NA,NA,Ethnoichthyology;Food-cultural studies;Foodways;Regional cuisine;Small-scale fishing;Wild food,Ekologi (10611),NA,NA,NA,"<p>Only a handful freshwater fish species are still commercially sought after in Sweden. Subsistence fishing in lakes and rivers is also rare nowadays and has in general been replaced by recreational fishing. However, fishing for European smelt, <em>Osmerus eperlanus</em> (L.), once popular in many areas of central Sweden, has survived into the twenty-first century, particularly in the province of Värmland, as a minor, but interesting regional food speciality. It is a dish with character, since smelt has a very particular scent and it is therefore esteemed by some and rejected by others. Nowadays, it is eaten locally, especially by the elder generations, and attempts to popularize it as a regional food have so far failed. However, smelt deserves to be marketed as a regional culinary specialty, and has great potential to become popular among modern foodies. A traditional dish known as “smelt pancake” can be promoted. Interesting enough, there are new categories of smelt enthusiasts that have discovered the possibility of fishing in large numbers in spring, especially Thai and other immigrants. There are also a significant numbers of sojourners and visitors from the Baltic States, especially Lithuanians, fishing for smelt in Värmland.</p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-01-08,2020-01-08,2022-06-22,https://sh.diva-portal.org/smash/get/diva2:1383451/FULLTEXT01.pdf,NA,3,NA,deprecated,NA,NA,NA,NA,30,TRUE,TRUE,NA,NA
